trt,leachate,rep,DIC_ugLd,DIC_13C_ugLd,site
C,0,A,17.897784499852076,0.21075012374955282,fl2
C,0,B,28.90627265769058,0.28897275169356657,fl2
C,0,C,17.22914090621549,0.18623132790898952,fl2
C,0,D,15.950959245590802,0.17434808949773764,fl2
C,1,A,218.1306207153344,3.8065499229373945,fl2
C,1,B,134.0112019559408,3.053746918183433,fl2
C,1,C,150.15878329025384,3.094586659698416,fl2
C,1,D,119.46642746040573,2.9874861195070093,fl2
CNP,0,A,96.8416191707794,1.1579341696561494,fl2
CNP,0,B,88.1581130392315,1.0399942346555877,fl2
CNP,0,C,94.19410647066417,1.120197269208371,fl2
CNP,0,D,92.28763771640104,1.1219816149262694,fl2
CNP,1,A,126.75070551272249,3.228134921132066,fl2
CNP,1,B,135.40683240971273,3.3344541174721707,fl2
CNP,1,C,131.9646946486904,3.2310529872739533,fl2
CNP,1,D,136.6056539843179,3.365318503018095,fl2
NP,0,A,0.46344882659821357,0.0239868053778194,fl2
NP,0,B,19.68209880257357,0.24100704650761204,fl2
NP,0,C,2.4128369076506,0.06093090760415745,fl2
NP,0,D,2.4902704774024746,0.08370065280573591,fl2
NP,1,A,63.89479617213363,2.3234698636322886,fl2
NP,1,B,53.9097500665896,2.2641949981608263,fl2
NP,1,C,44.109656939835546,2.3372671801115095,fl2
NP,1,D,44.44918611418021,1.9735330923068743,fl2
W,0,A,19.582296902426027,0.20565316165219577,fl2
W,0,B,15.050315512898942,0.1603623717581187,fl2
W,0,C,41.1800727597013,0.4057285646758881,fl2
W,0,D,27.429265353256874,0.29759297609657565,fl2
W,1,A,62.53564336909336,2.051667377507513,fl2
W,1,B,52.40104276474726,2.0411864728895326,fl2
W,1,C,22.067686028436803,2.1475462743316585,fl2
W,1,D,98.2301832706966,2.120528306984716,fl2
