batch,trt,leachate,sample_datetime,delCO2_mean,delCO2_sd,DIC_mgL_mean,DIC_mgL_sd,DIC_13C_ugL_mean,DIC_13C_ugL_sd,site
1,C,0,2023-07-13T13:40:00Z,-9.76099505301849,0,19.686840829136152,0,234.4944190460635,0,fl
1,C,1,2023-07-13T14:23:00Z,-9.225940081610855,0,19.727869947193007,0,235.1082685807748,0,fl
1,CNP,0,2023-07-13T13:50:00Z,-13.457532842609375,0,20.307960586459537,0,240.99956719993602,0,fl
1,CNP,1,2023-07-13T14:40:00Z,-13.591720624171874,0,20.29826193420589,0,240.85204858296754,0,fl
1,NP,0,2023-07-13T13:25:00Z,-13.563319204320313,0,20.34081134337979,0,241.3638025129502,0,fl
1,NP,1,2023-07-13T14:13:00Z,-12.775906513046875,0,20.285657234391326,0,240.89941671617328,0,fl
1,W,0,2023-07-13T13:04:00Z,-9.509534200581818,0,19.709021779020325,0,234.8174607990753,0,fl
1,W,1,2023-07-13T14:03:00Z,-9.443410298993017,0,19.72146704077476,0,234.9812363953576,0,fl
3,C,0,2023-07-18T16:37:30Z,-6.493060232801763,0.9287374554544628,19.73418786290606,0.022662670851188876,235.82524672823905,0.19762205834844904,fl
3,C,1,2023-07-18T12:59:15Z,14.340778271988782,1.2783619034896023,20.225068830965203,0.04657508637665547,246.70223885635522,0.37521414352746746,fl
3,CNP,0,2023-07-18T16:59:30Z,-12.466404524950855,0.5143941289569527,20.69779397807098,0.03728621087872631,245.86962512570156,0.39553753666877056,fl
3,CNP,1,2023-07-18T13:31:30Z,7.792112799405288,1.308271829415323,20.655625789101457,0.02564167482647326,250.3459697327189,0.2515210387514717,fl
3,NP,0,2023-07-18T14:57:00Z,-10.080847182534615,0.7910091073984941,20.255178190610614,0.021099332257752356,241.18668127984682,0.21559264490299723,fl
3,NP,1,2023-07-18T12:20:30Z,9.603291569909134,0.5820194709836366,20.305180856558025,0.05836401430743782,246.53554331527516,0.6380219233679086,fl
3,W,0,2023-07-18T14:32:45Z,-3.0578471997469134,3.5440404575193916,19.701532644834042,0.012499603917063885,236.24044078031653,0.911930669429924,fl
3,W,1,2023-07-18T11:50:15Z,29.57063461997436,3.169307997985013,19.764788528972872,0.00849422496390345,244.66671822531316,0.7089015448992398,fl
