batch,trt,leachate,sample_datetime,delCO2_mean,delCO2_sd,DIC_mgL_mean,DIC_mgL_sd,DIC_13C_ugL_mean,DIC_13C_ugL_sd,site
1,C,0,2023-07-21T16:45:00Z,-16.90734086673718,0,25.99310224241289,0,307.39969639022024,0,nsc
1,C,1,2023-07-21T17:32:00Z,-15.207571659880342,0,26.05748685651276,0,308.68824178986074,0,nsc
1,CNP,0,2023-07-21T16:53:00Z,-17.54149421528846,0,26.61706289022309,0,314.57795396877157,0,nsc
1,CNP,1,2023-07-21T17:38:00Z,-16.553820648448717,0,26.600159490111604,0,314.69088148857793,0,nsc
1,NP,0,2023-07-21T16:38:00Z,-17.375051706121795,0,26.624553634563654,0,314.7192242682736,0,nsc
1,NP,1,2023-07-21T17:10:00Z,-16.830071801371794,0,26.68307146760692,0,315.58393173906626,0,nsc
1,W,0,2023-07-21T16:28:00Z,-16.358278227083332,0,26.067004613144093,0,308.44387756132477,0,nsc
1,W,1,2023-07-21T17:29:00Z,-15.000572066679489,0,25.97924327443368,0,307.8250533762976,0,nsc
2,C,0,2023-07-27T11:07:00Z,-16.334022835472222,0.09955487519537123,26.321501147667973,0.03547713478397463,311.46270127703565,0.39221087553200423,nsc
2,C,1,2023-07-27T12:01:00Z,-5.007696338819302,1.2279778982315745,26.60041874686778,0.030544844119348883,318.3474745287756,0.621117023207254,nsc
2,CNP,0,2023-07-27T11:18:40Z,-17.068036549997863,0.35934079333664315,26.912778763793533,0.11012213536655707,318.2241863823688,1.1884015313278191,nsc
2,CNP,1,2023-07-27T12:10:00Z,-6.182781527313889,0.19738530790398445,27.13938632677422,0.12382274604785226,324.4184479134623,1.535977605743784,nsc
2,NP,0,2023-07-27T10:57:00Z,-16.700205682716526,0.7595086567592348,26.510293612827716,0.09824428687133788,313.5801891344689,0.9414181411085353,nsc
2,NP,1,2023-07-27T11:51:20Z,-8.391161342852351,1.0932898417792583,26.56579904454306,0.050503163884053966,316.86403429424524,0.7783495975619424,nsc
2,W,0,2023-07-27T10:45:40Z,-16.513362556108973,0.4614612029777552,26.050592757411284,0.06397722268690592,308.20061207681886,0.8350378151609535,nsc
2,W,1,2023-07-27T11:40:40Z,-6.186735535836539,2.2543171291013344,26.082368771501315,0.05016840672054132,311.7823743708993,1.2380492663871427,nsc
