Syringe,H2O_mL,air_mL,eq_temp,ResetTime
NI8,70,70,21.1,2023-09-30 01:08:27
NI118,70,70,21.1,2023-09-30 01:10:27
NI98,70,70,21.1,2023-09-30 01:25:34
NI9,70,70,21.1,2023-09-30 01:27:53
NI16,70,70,21.1,2023-09-30 01:32:21
NI110,70,70,21.1,2023-09-30 01:34:34
NI88,70,70,21.1,2023-09-30 01:40:56
U005,70,70,21.1,2023-09-30 01:44:20
71,70,70,21.1,2023-09-30 01:46:29
132,70,70,21.1,2023-09-30 01:48:31
53,70,70,21.1,2023-09-30 01:50:39
82,70,70,21.1,2023-09-30 02:05:04
U018,70,70,21.1,2023-09-30 02:07:10
BH15,70,70,21.1,2023-09-30 02:11:23
U048,70,70,21.1,2023-09-30 02:13:37
NI139,70,70,21.1,2023-09-30 02:17:49
