Syringe,H2O_mL,air_mL,eq_temp,ResetTime
NI11,70,70,22.3,2023-07-22 00:54:49
79,70,70,22.3,2023-07-22 00:57:13
95,70,70,22.3,2023-07-22 00:59:34
NI18,70,70,22.3,2023-07-22 01:01:53
5,70,70,22.3,2023-07-22 01:04:24
82,70,70,22.3,2023-07-22 01:06:54
81,70,70,22.3,2023-07-22 01:09:08
33,70,70,22.3,2023-07-22 01:11:26
NI4,70,70,22.3,2023-07-22 01:13:48
NI8,70,70,22.3,2023-07-22 01:16:06
37,70,70,22.3,2023-07-22 01:18:22
BH13,70,70,22.3,2023-07-22 01:20:31
NI9,70,70,22.3,2023-07-22 01:23:19
U002,70,70,22.3,2023-07-22 01:25:26
NI14,70,70,22.3,2023-07-22 01:27:50
55,70,70,22.3,2023-07-22 01:30:03
