Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2_ppm,delCO2,CH4,delCH4,batch
NI19,70,70,21.1,2023-07-28 19:54:13,2023-07-28T19:54:13Z,1,2023-07-28T19:54:53Z,1059.5503225749487,-15.704381402666666,-0.0010970670746,-152.32598676,2
NI119,70,70,21.1,2023-07-28 19:56:27,2023-07-28T19:56:27Z,2,2023-07-28T19:57:07Z,668.5464405501141,-15.433250240525641,-0.0010970670746,-152.32598676,2
NI123,70,70,21.1,2023-07-28 19:58:46,2023-07-28T19:58:46Z,3,2023-07-28T19:59:26Z,1774.1009361912265,-16.206598826132478,-0.0010970670746,-152.32598676,2
NI3,70,70,21.1,2023-07-28 20:01:00,2023-07-28T20:01:00Z,4,2023-07-28T20:01:40Z,787.6309635900192,-15.495303732435897,-0.0010970670746,-152.32598676,2
NI114,70,70,21.1,2023-07-28 20:03:16,2023-07-28T20:03:16Z,5,2023-07-28T20:03:56Z,557.53651801375,-15.193057615089744,-0.0010970670746,-152.32598676,2
NI138,70,70,21.1,2023-07-28 20:05:42,2023-07-28T20:05:42Z,6,2023-07-28T20:06:22Z,1611.0938862657565,-15.57637430974359,-0.0010970670746,-152.32598676,2
NI2,70,70,21.1,2023-07-28 20:07:49,2023-07-28T20:07:49Z,7,2023-07-28T20:08:29Z,550.5809660742461,-14.642102495320513,-0.0010970670746,-152.32598676,2
NI89,70,70,21.1,2023-07-28 20:10:05,2023-07-28T20:10:05Z,8,2023-07-28T20:10:45Z,519.0186961508257,-15.68661885971795,-0.0010970670746,-152.32598676,2
NI22,70,70,21.1,2023-07-28 20:12:31,2023-07-28T20:12:31Z,9,2023-07-28T20:13:11Z,570.6934514183192,-15.78438648101282,-0.0010970670746,-152.32598676,2
NI69,70,70,21.1,2023-07-28 20:15:03,2023-07-28T20:15:03Z,10,2023-07-28T20:15:43Z,1512.5938416331667,-15.711409617666666,-0.0010970670746,-152.32598676,2
NI1,70,70,21.1,2023-07-28 20:17:19,2023-07-28T20:17:19Z,11,2023-07-28T20:17:59Z,543.4357775703,-15.619053944576923,-0.0010970670746,-152.32598676,2
NI10,70,70,21.1,2023-07-28 20:19:28,2023-07-28T20:19:28Z,12,2023-07-28T20:20:08Z,1004.9748418794487,-15.097472745551283,-0.0010970670746,-152.32598676,2
NI14,70,70,21.1,2023-07-28 20:21:40,2023-07-28T20:21:40Z,13,2023-07-28T20:22:20Z,1047.186574397342,-15.791738205376069,-0.0010970670746,-152.32598676,2
NI105,70,70,21.1,2023-07-28 20:23:49,2023-07-28T20:23:49Z,14,2023-07-28T20:24:29Z,1495.1595651966154,-15.74402085971795,-0.0010970670746,-152.32598676,2
NI118,70,70,21.1,2023-07-28 20:26:00,2023-07-28T20:26:00Z,15,2023-07-28T20:26:40Z,984.3627092788676,-15.686624513410257,-0.0010970670746,-152.32598676,2
NI103,70,70,21.1,2023-07-28 20:28:04,2023-07-28T20:28:04Z,16,2023-07-28T20:28:44Z,1598.8067941531153,-15.690777070923078,-0.0010970670746,-152.32598676,2
NI11,70,70,21.1,2023-07-28 20:30:14,2023-07-28T20:30:14Z,17,2023-07-28T20:30:54Z,537.186236181,-15.14825959673077,-0.0010970670746,-152.32598676,2
NI16,70,70,21.1,2023-07-28 20:32:36,2023-07-28T20:32:36Z,18,2023-07-28T20:33:16Z,618.2877089205833,-16.42689092974359,-0.0010970670746,-152.32598676,2
NI139,70,70,21.1,2023-07-28 20:34:58,2023-07-28T20:34:58Z,19,2023-07-28T20:35:38Z,1060.7894358498845,-15.386446550423077,-0.0010970670746,-152.32598676,2
NI4,70,70,21.1,2023-07-28 20:37:12,2023-07-28T20:37:12Z,20,2023-07-28T20:37:52Z,603.1195763597449,-16.63055531117949,-0.0010970670746,-152.32598676,2
NI110,70,70,21.1,2023-07-28 20:39:25,2023-07-28T20:39:25Z,21,2023-07-28T20:40:05Z,664.2957603561731,-15.00541448346154,-0.0010970670746,-152.32598676,2
NI84,70,70,21.1,2023-07-28 20:41:34,2023-07-28T20:41:34Z,22,2023-07-28T20:42:14Z,596.614455278,-16.21495058624359,-0.0010970670746,-152.32598676,2
NI98,70,70,21.1,2023-07-28 20:43:49,2023-07-28T20:43:49Z,23,2023-07-28T20:44:29Z,1105.7999838141666,-16.025781381448716,-0.0010970670746,-152.32598676,2
NI5,70,70,21.1,2023-07-28 20:46:10,2023-07-28T20:46:10Z,24,2023-07-28T20:46:50Z,1633.7714456233462,-15.811390533397436,-0.0010970670746,-152.32598676,2
134,70,70,21.1,2023-07-28 20:48:17,2023-07-28T20:48:17Z,25,2023-07-28T20:48:57Z,2882.769794503064,6.360549201458975,-0.0010970670746,-152.32598676,2
30,70,70,21.1,2023-07-28 20:50:23,2023-07-28T20:50:23Z,26,2023-07-28T20:51:03Z,1339.1532342611667,7.85669848925,-0.0010970670746,-152.32598676,2
70,70,70,21.1,2023-07-28 20:52:36,2023-07-28T20:52:36Z,27,2023-07-28T20:53:16Z,1311.3734015167565,5.968394584680769,-0.0010970670746,-152.32598676,2
92,70,70,21.1,2023-07-28 20:54:43,2023-07-28T20:54:43Z,28,2023-07-28T20:55:23Z,1122.5928531221796,2.978696784105128,-0.0010970670746,-152.32598676,2
13,70,70,21.1,2023-07-28 20:56:56,2023-07-28T20:56:56Z,29,2023-07-28T20:57:36Z,1325.4513277339872,3.5417855001141025,-0.0010970670746,-152.32598676,2
U048,70,70,21.1,2023-07-28 20:59:14,2023-07-28T20:59:14Z,30,2023-07-28T20:59:54Z,1305.2278449072307,10.568312561602564,-0.0010970670746,-152.32598676,2
71,70,70,21.1,2023-07-28 21:02:13,2023-07-28T21:02:13Z,31,2023-07-28T21:02:53Z,1855.5393482380641,7.277780268102564,-0.0010970670746,-152.32598676,2
BH20,70,70,21.1,2023-07-28 21:04:28,2023-07-28T21:04:28Z,32,2023-07-28T21:05:08Z,1903.7351663096026,4.636563549192308,-0.0010970670746,-152.32598676,2
73,70,70,21.1,2023-07-28 21:06:40,2023-07-28T21:06:40Z,33,2023-07-28T21:07:20Z,2100.2436986971284,7.9638117369871795,-0.0010970670746,-152.32598676,2
U005,70,70,21.1,2023-07-28 21:09:12,2023-07-28T21:09:12Z,34,2023-07-28T21:09:52Z,1098.9751670596922,7.141754925525641,-0.0010970670746,-152.32598676,2
U018,70,70,21.1,2023-07-28 21:11:21,2023-07-28T21:11:21Z,35,2023-07-28T21:12:01Z,1805.5923379494873,6.931373979032052,-0.0010970670746,-152.32598676,2
82,70,70,21.1,2023-07-28 21:13:37,2023-07-28T21:13:37Z,36,2023-07-28T21:14:17Z,2345.4554900225,10.065606732555128,-0.0010970670746,-152.32598676,2
2,70,70,21.1,2023-07-28 21:15:50,2023-07-28T21:15:50Z,37,2023-07-28T21:16:30Z,974.8865154866111,7.378364433929487,-0.0010970670746,-152.32598676,2
53,70,70,21.1,2023-07-28 21:17:57,2023-07-28T21:17:57Z,38,2023-07-28T21:18:37Z,544.8367302776193,8.549689871970513,-0.0010970670746,-152.32598676,2
BH13,70,70,21.1,2023-07-28 21:20:08,2023-07-28T21:20:08Z,39,2023-07-28T21:20:48Z,702.1258732982103,11.074479617346153,-0.0010970670746,-152.32598676,2
014,70,70,21.1,2023-07-28 21:22:21,2023-07-28T21:22:21Z,40,2023-07-28T21:23:01Z,3236.2597895784616,3.662648843997436,-0.0010970670746,-152.32598676,2
BH16,70,70,21.1,2023-07-28 21:24:51,2023-07-28T21:24:51Z,41,2023-07-28T21:25:31Z,685.1568312241153,12.26579854376923,-0.0010970670746,-152.32598676,2
4,70,70,21.1,2023-07-28 21:26:52,2023-07-28T21:26:52Z,42,2023-07-28T21:27:32Z,595.9906055607693,7.622888705588461,-0.0010970670746,-152.32598676,2
U030,70,70,21.1,2023-07-28 21:29:25,2023-07-28T21:29:25Z,43,2023-07-28T21:30:05Z,1185.7748350516795,2.063810777008974,-0.0010970670746,-152.32598676,2
55,70,70,21.1,2023-07-28 21:31:40,2023-07-28T21:31:40Z,44,2023-07-28T21:32:20Z,1299.1810215556666,7.474028988908974,-0.0010970670746,-152.32598676,2
126,70,70,21.1,2023-07-28 21:33:46,2023-07-28T21:33:46Z,45,2023-07-28T21:34:26Z,1071.226211520359,5.547327370646154,-0.0010970670746,-152.32598676,2
31,70,70,21.1,2023-07-28 21:35:41,2023-07-28T21:35:41Z,46,2023-07-28T21:36:21Z,1226.591359426641,4.381958228592308,-0.0010970670746,-152.32598676,2
U033,70,70,21.1,2023-07-28 21:37:47,2023-07-28T21:37:47Z,47,2023-07-28T21:38:27Z,655.2722448517449,8.169463065502564,-0.0010970670746,-152.32598676,2
BH05,70,70,21.1,2023-07-28 21:39:58,2023-07-28T21:39:58Z,48,2023-07-28T21:40:38Z,1117.7327221742564,10.334028406876923,-0.0010970670746,-152.32598676,2
