Syringe,Treatment,batch,equilpressure,replicate,volwater,volair,equiltemp,run_datetime,samplenum,CO2_ppm,delCO2,CH4,delCH4,rundate,CO2_conc_air,sample_datetime,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc_umolL,AF,CO2_13C_umolL
U002,1,1,0.89969332,NA,70,70,22.3,2023-07-22T01:25:26Z,14,536.0374206741051,-11.35990323470513,-0.0010970670746,-152.32598676,2023-07-22,536.0374206741051,2023-07-21T12:11:00Z,31.213736868544135,17.173125503415793,20.337916269101317,37.51104177251711,0.010987480569121333,0.4121518426030304
81,1,1,0.89969332,NA,70,70,22.3,2023-07-22T01:09:08Z,7,585.4848775863423,-13.810560436102564,-0.0010970670746,-152.32598676,2023-07-22,585.4848775863423,2023-07-21T12:11:00Z,31.213736868544135,18.757282412294852,22.214013346682936,40.97129575897779,0.010960543143789494,0.4490676548232356
NI14,2,1,0.89969332,NA,70,70,22.3,2023-07-22T01:27:50Z,15,977.0359986922692,-14.729664392282052,-0.0010970670746,-152.32598676,2023-07-22,977.0359986922692,2023-07-21T12:25:00Z,31.213736868544135,31.301474822032098,37.06994244601827,68.37141726805037,0.010950440049229439,0.7486971058746359
NI18,2,1,0.89969332,NA,70,70,22.3,2023-07-22T01:01:53Z,4,961.2878088266668,-16.396457572333333,-0.0010970670746,-152.32598676,2023-07-22,961.2878088266668,2023-07-21T12:25:00Z,31.213736868544135,30.79694728238103,36.47243683442542,67.26938411680645,0.010932117580936776,0.7353968167621289
NI9,3,1,0.89969332,NA,70,70,22.3,2023-07-22T01:23:19Z,13,475.2725052863748,-13.2153001902094,-0.0010970670746,-152.32598676,2023-07-22,475.2725052863748,2023-07-21T12:32:00Z,31.213736868544135,15.226389178840487,18.032420955545525,33.25881013438601,0.010967086331089502,0.36475224201312584
NI11,3,1,0.89969332,NA,70,70,22.3,2023-07-22T00:54:49Z,1,466.599194796341,-17.308304374641025,-0.0010970670746,-152.32598676,2023-07-22,466.599194796341,2023-07-21T12:32:00Z,31.213736868544135,14.948520799076757,17.703344932643255,32.651865731720015,0.010922093684056687,0.35662673648108617
NI4,4,1,0.89969332,NA,70,70,22.3,2023-07-22T01:13:48Z,9,1002.138198552154,-15.269222922628206,-0.0010970670746,-152.32598676,2023-07-22,1002.138198552154,2023-07-21T12:42:00Z,31.213736868544135,32.10567843166724,38.022350653412744,70.12802908507999,0.010944508947322483,0.7675168417797492
NI8,4,1,0.89969332,NA,70,70,22.3,2023-07-22T01:16:06Z,10,984.4750644731024,-15.391945464192307,-0.0010970670746,-152.32598676,2023-07-22,984.4750644731024,2023-07-21T12:42:00Z,31.213736868544135,31.539801486095506,37.352189712973356,68.89199119906887,0.010943159908771339,0.7538960761250784
55,5,1,0.89969332,NA,70,70,22.3,2023-07-22T01:30:03Z,16,494.5786273947179,-7.11281292747906,-0.0010970670746,-152.32598676,2023-07-22,494.5786273947179,2023-07-21T12:53:00Z,31.213736868544135,15.844902822037083,18.764918874117605,34.60982169615468,0.011034160766724439,0.38189033670303824
37,5,1,0.89969332,NA,70,70,22.3,2023-07-22T01:18:22Z,11,521.2413126440141,-6.159009934650855,-0.0010970670746,-152.32598676,2023-07-22,521.2413126440141,2023-07-21T12:53:00Z,31.213736868544135,16.69909997765435,19.776533808440014,36.47563378609436,0.011044643505629894,0.40286037180932144
BH13,6,1,0.89969332,NA,70,70,22.3,2023-07-22T01:20:31Z,12,1154.2135826786412,-12.614462441576922,-0.0010970670746,-152.32598676,2023-07-22,1154.2135826786412,2023-07-21T13:01:00Z,31.213736868544135,36.97774436747457,43.792276986291476,80.77002135376604,0.010973690739316243,0.8863452353441976
95,6,1,0.89969332,NA,70,70,22.3,2023-07-22T00:59:34Z,3,1121.8201411373975,-14.004553887192309,-0.0010970670746,-152.32598676,2023-07-22,1121.8201411373975,2023-07-21T13:01:00Z,31.213736868544135,35.9399499605547,42.56323013932819,78.5031800998829,0.010958410720822254,0.860270090425197
33,8,1,0.89969332,NA,70,70,22.3,2023-07-22T01:11:26Z,8,1099.0038176304488,-12.703505318957266,-0.0010970670746,-152.32598676,2023-07-22,1099.0038176304488,2023-07-21T13:22:00Z,31.213736868544135,35.20897937529478,41.69755088046322,76.906530255758,0.010972711985620678,0.8438732063098552
82,8,1,0.89969332,NA,70,70,22.3,2023-07-22T01:06:54Z,6,1070.2453234781667,-12.681358338371794,-0.0010970670746,-152.32598676,2023-07-22,1070.2453234781667,2023-07-21T13:22:00Z,31.213736868544135,34.287638419759794,40.606418389453516,74.89405680921331,0.010972955424016283,0.8218091468912408
5,7,1,0.89969332,NA,70,70,22.3,2023-07-22T01:04:24Z,5,549.9812442390077,-9.841794983680767,-0.0010970670746,-152.32598676,2023-07-22,549.9812442390077,2023-07-21T13:31:00Z,31.213736868544135,17.619846241263573,20.866962013291115,38.48680825455468,0.01100416675596289,0.4235152559378888
79,7,1,0.89969332,NA,70,70,22.3,2023-07-22T00:57:13Z,2,482.9767709016179,-12.66734593546154,-0.0010970670746,-152.32598676,2023-07-22,482.9767709016179,2023-07-21T13:31:00Z,31.213736868544135,15.473212096829752,18.32473022902998,33.79794232585973,0.01097310944751845,0.37086852024257505
NI1,1,2,0.89668543,A,70,70,21.1,2023-07-28T20:17:19Z,11,543.4357775703,-15.619053944576924,-0.0010970670746,-152.32598676,2023-07-28,543.4357775703,2023-07-27T16:05:00Z,32.2650963764137,16.842837573780198,20.633491021978436,37.47632859575863,0.010940663388713507,0.41001589621101353
NI110,1,2,0.89668543,A,70,70,21.1,2023-07-28T20:39:25Z,21,664.2957603561731,-15.00541448346154,-0.0010970670746,-152.32598676,2023-07-28,664.2957603561731,2023-07-27T16:05:00Z,32.2650963764137,20.58868049257661,25.22237433194082,45.81105482451743,0.010947408872805868,0.5015123480585182
NI11,1,2,0.89668543,B,70,70,21.1,2023-07-28T20:30:14Z,17,537.186236181,-15.14825959673077,-0.0010970670746,-152.32598676,2023-07-28,537.186236181,2023-07-27T16:06:00Z,32.2650963764137,16.649144013519567,20.396204738171104,37.045348751690675,0.010945838643936215,0.40549240994435
NI2,1,2,0.89668543,B,70,70,21.1,2023-07-28T20:07:49Z,7,550.5809660742461,-14.642102495320511,-0.0010970670746,-152.32598676,2023-07-28,550.5809660742461,2023-07-27T16:06:00Z,32.2650963764137,17.064290143473105,20.904783765171892,37.969073908645,0.010951402567445903,0.41581461348667814
NI89,1,2,0.89668543,C,70,70,21.1,2023-07-28T20:10:05Z,8,519.0186961508257,-15.68661885971795,-0.0010970670746,-152.32598676,2023-07-28,519.0186961508257,2023-07-27T16:07:00Z,32.2650963764137,16.086073015118487,19.706408832976873,35.792481848095356,0.010939920670000405,0.3915669120005927
NI16,1,2,0.89668543,C,70,70,21.1,2023-07-28T20:32:36Z,18,618.2877089205833,-16.42689092974359,-0.0010970670746,-152.32598676,2023-07-28,618.2877089205833,2023-07-27T16:07:00Z,32.2650963764137,19.16274173513895,23.475513423225326,42.63825515836428,0.010931783031484893,0.4661121542323299
NI14,2,2,0.89668543,A,70,70,21.1,2023-07-28T20:21:40Z,13,1047.186574397342,-15.791738205376069,-0.0010970670746,-152.32598676,2023-07-28,1047.186574397342,2023-07-27T16:14:00Z,32.2650963764137,32.455708862002716,39.76019922311568,72.2159080851184,0.010938765125664841,0.7899528568797107
NI19,2,2,0.89668543,A,70,70,21.1,2023-07-28T19:54:13Z,1,1059.5503225749487,-15.704381402666666,-0.0010970670746,-152.32598676,2023-07-28,1059.5503225749487,2023-07-27T16:14:00Z,32.2650963764137,32.83890152423338,40.22963332655516,73.06853485078854,0.010939725412069213,0.7993497075298363
NI139,2,2,0.89668543,B,70,70,21.1,2023-07-28T20:34:58Z,19,1060.7894358498845,-15.386446550423075,-0.0010970670746,-152.32598676,2023-07-28,1060.7894358498845,2023-07-27T16:15:00Z,32.2650963764137,32.877305664127455,40.27668071226081,73.15398637638827,0.010943220356153168,0.8005401928478437
NI10,2,2,0.89668543,B,70,70,21.1,2023-07-28T20:19:28Z,12,1004.9748418794488,-15.097472745551284,-0.0010970670746,-152.32598676,2023-07-28,1004.9748418794488,2023-07-27T16:15:00Z,32.2650963764137,31.147430342532665,38.15747919642875,69.30490953896143,0.01094639692037766,0.7586390483443397
NI98,2,2,0.89668543,C,70,70,21.1,2023-07-28T20:43:49Z,23,1105.7999838141666,-16.025781381448716,-0.0010970670746,-152.32598676,2023-07-28,1105.7999838141666,2023-07-27T16:17:00Z,32.2650963764137,34.27232855323265,41.98566781919674,76.25799637242939,0.010936192351984021,0.8339721167057875
NI118,2,2,0.89668543,C,70,70,21.1,2023-07-28T20:26:00Z,15,984.3627092788676,-15.686624513410257,-0.0010970670746,-152.32598676,2023-07-28,984.3627092788676,2023-07-27T16:17:00Z,32.2650963764137,30.508593490470783,37.37486555464859,67.88345904511937,0.010939920607851192,0.7426396525399237
NI22,3,2,0.89668543,A,70,70,21.1,2023-07-28T20:12:31Z,9,570.6934514183192,-15.78438648101282,-0.0010970670746,-152.32598676,2023-07-28,570.6934514183192,2023-07-27T16:26:00Z,32.2650963764137,17.687641306272532,21.668426504396805,39.35606781066934,0.010938845940976452,0.4305099626235343
