Syringe,Treatment,batch,sample_date,sample_time,equilpressure,replicate
U002,1,1,7/21/2023,12:11,0.89969332,
81,1,1,7/21/2023,12:11,0.89969332,
NI14,2,1,7/21/2023,12:25,0.89969332,
NI18,2,1,7/21/2023,12:25,0.89969332,
NI9,3,1,7/21/2023,12:32,0.89969332,
NI11,3,1,7/21/2023,12:32,0.89969332,
NI4,4,1,7/21/2023,12:42,0.89969332,
NI8,4,1,7/21/2023,12:42,0.89969332,
55,5,1,7/21/2023,12:53,0.89969332,
37,5,1,7/21/2023,12:53,0.89969332,
BH13,6,1,7/21/2023,13:01,0.89969332,
95,6,1,7/21/2023,13:01,0.89969332,
33,8,1,7/21/2023,13:22,0.89969332,
82,8,1,7/21/2023,13:22,0.89969332,
5,7,1,7/21/2023,13:31,0.89969332,
79,7,1,7/21/2023,13:31,0.89969332,
NI1,1,2,7/27/2023,16:05,0.89668543,A
NI110,1,2,7/27/2023,16:05,0.89668543,A
NI11,1,2,7/27/2023,16:06,0.89668543,B
NI2,1,2,7/27/2023,16:06,0.89668543,B
NI89,1,2,7/27/2023,16:07,0.89668543,C
NI16,1,2,7/27/2023,16:07,0.89668543,C
NI14,2,2,7/27/2023,16:14,0.89668543,A
NI19,2,2,7/27/2023,16:14,0.89668543,A
NI139,2,2,7/27/2023,16:15,0.89668543,B
NI10,2,2,7/27/2023,16:15,0.89668543,B
NI98,2,2,7/27/2023,16:17,0.89668543,C
NI118,2,2,7/27/2023,16:17,0.89668543,C
NI22,3,2,7/27/2023,16:26,0.89668543,A
NI4,3,2,7/27/2023,16:26,0.89668543,A
NI3,3,2,7/27/2023,16:28,0.89668543,B
NI84,3,2,7/27/2023,16:28,0.89668543,B
NI114,3,2,7/27/2023,16:28,0.89668543,C
NI119,3,2,7/27/2023,16:28,0.89668543,C
NI123,4,2,7/27/2023,16:37,0.89668543,A
NI138,4,2,7/27/2023,16:37,0.89668543,A
NI103,4,2,7/27/2023,16:39,0.89668543,B
NI5,4,2,7/27/2023,16:39,0.89668543,B
NI105,4,2,7/27/2023,16:40,0.89668543,C
NI69,4,2,7/27/2023,16:40,0.89668543,C
4,5,2,7/27/2023,16:48,0.89668543,A
53,5,2,7/27/2023,16:48,0.89668543,A
BH13,5,2,7/27/2023,16:49,0.89668543,B
2,5,2,7/27/2023,16:49,0.89668543,B
U033,5,2,7/27/2023,16:50,0.89668543,C
BH16,5,2,7/27/2023,16:50,0.89668543,C
014,6,2,7/27/2023,16:58,0.89668543,A
92,6,2,7/27/2023,16:58,0.89668543,A
U030,6,2,7/27/2023,16:59,0.89668543,B
13,6,2,7/27/2023,16:59,0.89668543,B
31,6,2,7/27/2023,17:00,0.89668543,C
126,6,2,7/27/2023,17:00,0.89668543,C
30,7,2,7/27/2023,17:07,0.89668543,A
U005,7,2,7/27/2023,17:07,0.89668543,A
U048,7,2,7/27/2023,17:08,0.89668543,B
BH05,7,2,7/27/2023,17:08,0.89668543,B
55,7,2,7/27/2023,17:09,0.89668543,C
70,7,2,7/27/2023,17:09,0.89668543,C
U018,8,2,7/27/2023,17:15,0.89668543,A
82,8,2,7/27/2023,17:15,0.89668543,A
134,8,2,7/27/2023,17:16,0.89668543,B
71,8,2,7/27/2023,17:16,0.89668543,B
73,8,2,7/27/2023,17:17,0.89668543,C
BH20,8,2,7/27/2023,17:17,0.89668543,C
