Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2_ppm,delCO2,CH4,delCH4,batch
BH16,70,70,23.6,2023-07-22 01:39:17,2023-07-22T01:39:17Z,1,2023-07-22T01:39:57Z,1592.416417105923,-16.862451972653847,-0.0010970670746,-152.32598676,1
30,70,70,23.6,2023-07-22 01:41:29,2023-07-22T01:41:29Z,2,2023-07-22T01:42:09Z,1542.6028689209231,-16.797691630089744,-0.0010970670746,-152.32598676,1
32,70,70,23.6,2023-07-22 01:43:43,2023-07-22T01:43:43Z,3,2023-07-22T01:44:23Z,1418.5557535129103,-16.760784635807692,-0.0010970670746,-152.32598676,1
BH21,70,70,23.6,2023-07-22 01:46:03,2023-07-22T01:46:03Z,4,2023-07-22T01:46:43Z,854.9624830264436,-15.790057543004274,-0.0010970670746,-152.32598676,1
98,70,70,23.6,2023-07-22 01:48:16,2023-07-22T01:48:16Z,5,2023-07-22T01:48:56Z,899.0464160518565,-14.62508577675641,-0.0010970670746,-152.32598676,1
72,70,70,23.6,2023-07-22 01:50:35,2023-07-22T01:50:35Z,6,2023-07-22T01:51:15Z,812.3824493159038,-15.604762729794873,-0.0010970670746,-152.32598676,1
NI12,70,70,23.6,2023-07-22 01:52:45,2023-07-22T01:52:45Z,7,2023-07-22T01:53:25Z,1499.281964863205,-17.398554624141024,-0.0010970670746,-152.32598676,1
NI89,70,70,23.6,2023-07-22 01:54:59,2023-07-22T01:54:59Z,8,2023-07-22T01:55:39Z,823.6895201985205,-16.232821003089743,-0.0010970670746,-152.32598676,1
NI1,70,70,23.6,2023-07-22 01:57:06,2023-07-22T01:57:06Z,9,2023-07-22T01:57:46Z,1511.9217337696025,-17.17187876769231,-0.0010970670746,-152.32598676,1
NI24,70,70,23.6,2023-07-22 01:59:28,2023-07-22T01:59:28Z,10,2023-07-22T02:00:08Z,951.2121384966923,-16.483735451076925,-0.0010970670746,-152.32598676,1
BH05,70,70,23.6,2023-07-22 02:01:41,2023-07-22T02:01:41Z,11,2023-07-22T02:02:21Z,778.3417653862795,-14.396381403564103,-0.0010970670746,-152.32598676,1
NI2,70,70,23.6,2023-07-22 02:03:54,2023-07-22T02:03:54Z,12,2023-07-22T02:04:34Z,1490.5686442343847,-17.57822464455128,-0.0010970670746,-152.32598676,1
NI9,70,70,23.6,2023-07-22 02:06:12,2023-07-22T02:06:12Z,13,2023-07-22T02:06:52Z,806.1859369096795,-16.9915104480641,-0.0010970670746,-152.32598676,1
147,70,70,23.6,2023-07-22 02:08:28,2023-07-22T02:08:28Z,14,2023-07-22T02:09:08Z,1528.9805564013845,-16.346856661089742,-0.0010970670746,-152.32598676,1
NI91,70,70,23.6,2023-07-22 02:11:06,2023-07-22T02:11:06Z,15,2023-07-22T02:11:46Z,1486.2736319511794,-17.684433806435898,-0.0010970670746,-152.32598676,1
NI77,70,70,23.6,2023-07-22 02:13:16,2023-07-22T02:13:16Z,16,2023-07-22T02:13:56Z,813.1081362518936,-16.823171285410258,-0.0010970670746,-152.32598676,1
