Syringe,H2O_mL,air_mL,eq_temp,ResetTime
BH16,70,70,23.6,2023-07-22 01:39:17
30,70,70,23.6,2023-07-22 01:41:29
32,70,70,23.6,2023-07-22 01:43:43
BH21,70,70,23.6,2023-07-22 01:46:03
98,70,70,23.6,2023-07-22 01:48:16
72,70,70,23.6,2023-07-22 01:50:35
NI12,70,70,23.6,2023-07-22 01:52:45
NI1,70,70,23.6,2023-07-22 01:57:06
NI24,70,70,23.6,2023-07-22 01:59:28
BH05,70,70,23.6,2023-07-22 02:01:41
NI2,70,70,23.6,2023-07-22 02:03:54
NI9,70,70,23.6,2023-07-22 02:06:12
147,70,70,23.6,2023-07-22 02:08:28
NI91,70,70,23.6,2023-07-22 02:11:06
NI77,70,70,23.6,2023-07-22 02:13:16
