Syringe,H2O_mL,air_mL,eq_temp,ResetTime
NI108,70,70,21.1,2023-07-28 15:44:45
029,70,70,21.1,2023-07-28 15:46:59
NI77,70,70,21.1,2023-07-28 15:49:20
114,70,70,21.1,2023-07-28 15:51:31
NI6,70,70,21.1,2023-07-28 15:53:48
NI127,70,70,21.1,2023-07-28 15:56:07
8G,70,70,21.1,2023-07-28 15:58:24
NI83,70,70,21.1,2023-07-28 16:00:48
28,70,70,21.1,2023-07-28 16:03:00
J01,70,70,21.1,2023-07-28 16:05:28
NI146,70,70,21.1,2023-07-28 16:07:49
U002,70,70,21.1,2023-07-28 16:10:15
NI36,70,70,21.1,2023-07-28 16:12:59
74,70,70,21.1,2023-07-28 16:15:19
NI88,70,70,21.1,2023-07-28 16:17:35
NI86,70,70,21.1,2023-07-28 16:19:46
37,70,70,21.1,2023-07-28 16:22:12
NI24,70,70,21.1,2023-07-28 16:24:28
5,70,70,21.1,2023-07-28 16:26:46
95,70,70,21.1,2023-07-28 16:28:57
NI51,70,70,21.1,2023-07-28 16:31:17
NI13,70,70,21.1,2023-07-28 16:33:36
BH12,70,70,21.1,2023-07-28 16:35:47
NI135,70,70,21.1,2023-07-28 16:38:03
NI25,70,70,21.1,2023-07-28 16:40:20
NI23,70,70,21.1,2023-07-28 16:42:30
U028,70,70,21.1,2023-07-28 16:44:57
33,70,70,21.1,2023-07-28 16:47:14
NI126,70,70,21.1,2023-07-28 16:49:24
U013,70,70,21.1,2023-07-28 16:51:38
NI7,70,70,21.1,2023-07-28 16:53:54
147,70,70,21.1,2023-07-28 16:56:20
79,70,70,21.1,2023-07-28 16:58:34
34,70,70,21.1,2023-07-28 17:00:51
81,70,70,21.1,2023-07-28 17:03:21
83,70,70,21.1,2023-07-28 17:05:33
NI9,70,70,21.1,2023-07-28 17:07:51
NI18,70,70,21.1,2023-07-28 17:10:13
BH21,70,70,21.1,2023-07-28 17:12:24
U025,70,70,21.1,2023-07-28 17:14:43
NI12,70,70,21.1,2023-07-28 17:17:09
98,70,70,21.1,2023-07-28 17:19:29
NI21,70,70,21.1,2023-07-28 17:21:48
92,70,70,21.1,2023-07-28 17:23:56
NI117,70,70,21.1,2023-07-28 17:26:11
NI20,70,70,21.1,2023-07-28 17:28:40
NI102,70,70,21.1,2023-07-28 17:30:59
