Syringe,Treatment,batch,equilpressure,replicate,volwater,volair,equiltemp,run_datetime,samplenum,CO2_ppm,delCO2,CH4,delCH4,rundate,CO2_conc_air,sample_datetime,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc_umolL,AF,CO2_13C_umolL
NI89,1,1,0.89668543,NA,70,70,23.6,2023-07-22T01:54:59Z,8,823.6895201985205,-16.232821003089743,-0.0010970670746,-152.32598676,2023-07-22,823.6895201985205,2023-07-21T16:28:00Z,30.12249470403089,27.344664785958024,31.010857157611984,58.355521943570004,0.010933916409956165,0.6380543989903571
NI24,1,1,0.89668543,NA,70,70,23.6,2023-07-22T01:59:28Z,10,951.2121384966924,-16.483735451076925,-0.0010970670746,-152.32598676,2023-07-22,951.2121384966924,2023-07-21T16:28:00Z,30.12249470403089,31.578132815453845,35.811920669329574,67.39005348478342,0.01093115814736035,0.73665133220124
NI1,2,1,0.89668543,NA,70,70,23.6,2023-07-22T01:57:06Z,9,1511.9217337696025,-17.17187876769231,-0.0010970670746,-152.32598676,2023-07-22,1511.9217337696025,2023-07-21T16:38:00Z,30.12249470403089,50.19244749231485,56.92191993424662,107.11436742656146,0.010923593418439886,1.1700737990411385
NI2,2,1,0.89668543,NA,70,70,23.6,2023-07-22T02:03:54Z,12,1490.5686442343847,-17.57822464455128,-0.0010970670746,-152.32598676,2023-07-22,1490.5686442343847,2023-07-21T16:38:00Z,30.12249470403089,49.483572289745375,56.11800341811716,105.60157570786254,0.010919126421921584,1.1530769555082743
NI9,3,1,0.89668543,NA,70,70,23.6,2023-07-22T02:06:12Z,13,806.1859369096795,-16.9915104480641,-0.0010970670746,-152.32598676,2023-07-22,806.1859369096795,2023-07-21T16:45:00Z,30.12249470403089,26.76358465096845,30.351869629173123,57.11545428014158,0.010925576210557834,0.6240192485383185
NI77,3,1,0.89668543,NA,70,70,23.6,2023-07-22T02:13:16Z,16,813.1081362518936,-16.823171285410258,-0.0010970670746,-152.32598676,2023-07-22,813.1081362518936,2023-07-21T16:45:00Z,30.12249470403089,26.99338631282376,30.612481582772073,57.60586789559583,0.010927426758768913,0.6294839023044408
NI91,4,1,0.89668543,NA,70,70,23.6,2023-07-22T02:11:06Z,15,1486.2736319511794,-17.684433806435898,-0.0010970670746,-152.32598676,2023-07-22,1486.2736319511794,2023-07-21T16:53:00Z,30.12249470403089,49.340987410059746,55.95630169782264,105.29728910788238,0.010917958848467206,1.149631469335014
NI12,4,1,0.89668543,NA,70,70,23.6,2023-07-22T01:52:45Z,7,1499.281964863205,-17.398554624141024,-0.0010970670746,-152.32598676,2023-07-22,1499.281964863205,2023-07-21T16:53:00Z,30.12249470403089,49.772835204866894,56.44604879779335,106.21888400266025,0.010921101555479824,1.1600272193027839
BH05,5,1,0.89668543,NA,70,70,23.6,2023-07-22T02:01:41Z,11,778.3417653862795,-14.396381403564105,-0.0010970670746,-152.32598676,2023-07-22,778.3417653862795,2023-07-21T17:29:00Z,30.12249470403089,25.839219926300608,29.303572176540612,55.14279210284122,0.01095410362988426,0.6040398591356861
72,5,1,0.89668543,NA,70,70,23.6,2023-07-22T01:50:35Z,6,812.3824493159038,-15.604762729794873,-0.0010970670746,-152.32598676,2023-07-22,812.3824493159038,2023-07-21T17:29:00Z,30.12249470403089,26.969295116423197,30.585160397590915,57.55445551401411,0.010940820487156878,0.6296929660148847
30,6,1,0.89668543,NA,70,70,23.6,2023-07-22T01:41:29Z,2,1542.6028689209231,-16.797691630089744,-0.0010970670746,-152.32598676,2023-07-22,1542.6028689209231,2023-07-21T17:10:00Z,30.12249470403089,51.210993115868895,58.07702543975515,109.28801855562405,0.01092770685538016,1.194267429581207
BH16,6,1,0.89668543,NA,70,70,23.6,2023-07-22T01:39:17Z,1,1592.416417105923,-16.862451972653847,-0.0010970670746,-152.32598676,2023-07-22,1592.416417105923,2023-07-21T17:10:00Z,30.12249470403089,52.86469240852191,59.95244183075955,112.81713423928146,0.010926994947774403,1.232752255855015
98,7,1,0.89668543,NA,70,70,23.6,2023-07-22T01:48:16Z,5,899.0464160518565,-14.62508577675641,-0.0010970670746,-152.32598676,2023-07-22,899.0464160518565,2023-07-21T17:32:00Z,30.12249470403089,29.846346555471357,33.847947925242025,63.694294480713374,0.010951589622353729,0.6975537744381229
BH21,7,1,0.89668543,NA,70,70,23.6,2023-07-22T01:46:03Z,4,854.9624830264436,-15.790057543004274,-0.0010970670746,-152.32598676,2023-07-22,854.9624830264436,2023-07-21T17:32:00Z,30.12249470403089,28.382857775456277,32.18824421835581,60.5711019938121,0.010938783600685821,0.66257417716538
32,8,1,0.89668543,NA,70,70,23.6,2023-07-22T01:43:43Z,3,1418.5557535129103,-16.760784635807692,-0.0010970670746,-152.32598676,2023-07-22,1418.5557535129103,2023-07-21T17:38:00Z,30.12249470403089,47.092904072220954,53.40681016761649,100.49971423983745,0.010928112571891305,1.0982721906558512
147,8,1,0.89668543,NA,70,70,23.6,2023-07-22T02:08:28Z,14,1528.9805564013843,-16.346856661089742,-0.0010970670746,-152.32598676,2023-07-22,1528.9805564013843,2023-07-21T17:38:00Z,30.12249470403089,50.75876256015347,57.564162792676726,108.3229253528302,0.010932662836022667,1.1842580202941442
NI102,1,2,0.89802227,A,70,70,21.1,2023-07-28T17:30:59Z,47,960.0151749238718,-16.972742722794873,-0.0010970670746,-152.32598676,2023-07-28,960.0151749238718,2023-07-27T10:43:00Z,32.2650963764137,29.753984420937858,36.50476675611325,66.25875117705111,0.010925782524036004,0.723928705674675
NI6,1,2,0.89802227,A,70,70,21.1,2023-07-28T15:53:48Z,5,827.9499833076372,-15.120136324589744,-0.0010970670746,-152.32598676,2023-07-28,827.9499833076372,2023-07-27T10:43:00Z,32.2650963764137,25.660855732415598,31.482961744609817,57.14381747702542,0.010946147790179443,0.6255046713985593
NI86,1,2,0.89802227,B,70,70,21.1,2023-07-28T16:19:46Z,16,1087.4760508603715,-18.50021001374359,-0.0010970670746,-152.32598676,2023-07-28,1087.4760508603715,2023-07-27T10:46:00Z,32.2650963764137,33.704410430812594,41.351491753935065,75.05590218474767,0.010908990804769278,0.8187841467770747
NI146,1,2,0.89802227,B,70,70,21.1,2023-07-28T16:07:49Z,11,839.3782192555551,-14.548764753217949,-0.0010970670746,-152.32598676,2023-07-28,839.3782192555551,2023-07-27T10:46:00Z,32.2650963764137,26.01505383598215,31.9175226751135,57.932576511095654,0.010952428574185696,0.634502406356323
NI21,1,2,0.89802227,C,70,70,21.1,2023-07-28T17:21:48Z,43,795.8754628877449,-16.154939797884616,-0.0010970670746,-152.32598676,2023-07-28,795.8754628877449,2023-07-27T10:48:00Z,32.2650963764137,24.666762299508967,30.263321766694666,54.93008406620364,0.01093477254252224,0.600647975005562
NI9,1,2,0.89802227,C,70,70,21.1,2023-07-28T17:07:51Z,37,852.0121509990641,-17.783381724423077,-0.0010970670746,-152.32598676,2023-07-28,852.0121509990641,2023-07-27T10:48:00Z,32.2650963764137,26.40662036335644,32.3979304265285,58.80455078988494,0.010916871096489979,0.6419617008601719
NI23,2,2,0.89802227,A,70,70,21.1,2023-07-28T16:42:30Z,26,1371.668779391641,-17.03261919673077,-0.0010970670746,-152.32598676,2023-07-28,1371.668779391641,2023-07-27T10:56:00Z,32.2650963764137,42.512464968006505,52.15797642188845,94.67044138989495,0.010925124302058371,1.034286339915334
NI36,2,2,0.89802227,A,70,70,21.1,2023-07-28T16:12:59Z,13,1276.7206133776326,-15.7850287151453,-0.0010970670746,-152.32598676,2023-07-28,1276.7206133776326,2023-07-27T10:56:00Z,32.2650963764137,39.56971330514716,48.54755364441834,88.11726694956549,0.01093883888108885,0.9639005858031925
NI126,2,2,0.89802227,B,70,70,21.1,2023-07-28T16:49:24Z,29,1747.5426665941154,-18.35893258866667,-0.0010970670746,-152.32598676,2023-07-28,1747.5426665941154,2023-07-27T10:57:00Z,32.2650963764137,54.162016012808095,66.45065526743693,120.61267128024501,0.01091054391652782,1.315949846892847
NI24,2,2,0.89802227,B,70,70,21.1,2023-07-28T16:24:28Z,18,1330.2641238150898,-16.765586460128205,-0.0010970670746,-152.32598676,2023-07-28,1330.2641238150898,2023-07-27T10:57:00Z,32.2650963764137,41.22920038098922,50.583556210708906,91.81275659169813,0.010928059785725617,1.0033352931263508
NI83,2,2,0.89802227,C,70,70,21.1,2023-07-28T16:00:48Z,8,1351.6342429624488,-15.648026146576925,-0.0010970670746,-152.32598676,2023-07-28,1351.6342429624488,2023-07-27T10:58:00Z,32.2650963764137,41.891529694934206,51.3961592147047,93.2876889096389,0.010940344907038359,1.0205994922519468
NI88,2,2,0.89802227,C,70,70,21.1,2023-07-28T16:17:35Z,15,1379.4837391358717,-16.611040989051283,-0.0010970670746,-152.32598676,2023-07-28,1379.4837391358717,2023-07-27T10:58:00Z,32.2650963764137,42.75467592107663,52.45514181064824,95.20981773172487,0.010929758691958157,1.0406203329130717
NI108,3,2,0.89802227,A,70,70,21.1,2023-07-28T15:44:45Z,1,1177.0921293596923,-15.895865685179489,-0.0010970670746,-152.32598676,2023-07-28,1177.0921293596923,2023-07-27T11:06:00Z,32.2650963764137,36.4819034050729,44.759160849868536,81.24106425494142,0.01093762048194071,0.8885839283695086
NI117,3,2,0.89802227,A,70,70,21.1,2023-07-28T17:26:11Z,45,1204.9972434045258,-16.861808299461536,-0.0010970670746,-152.32598676,2023-07-28,1204.9972434045258,2023-07-27T11:06:00Z,32.2650963764137,37.34677340946664,45.820258326364325,83.16703173583096,0.010927002023650623,0.9087663240784405
NI20,3,2,0.89802227,B,70,70,21.1,2023-07-28T17:28:40Z,46,1294.699600536141,-16.415633246807694,-0.0010970670746,-152.32598676,2023-07-28,1294.699600536141,2023-07-27T11:07:00Z,32.2650963764137,40.12694043841713,49.2312081843422,89.35814862275933,0.010931906785575103,0.9768549512755713
NI12,3,2,0.89802227,B,70,70,21.1,2023-07-28T17:17:09Z,41,1174.5643505107307,-16.390955205358974,-0.0010970670746,-152.32598676,2023-07-28,1174.5643505107307,2023-07-27T11:07:00Z,32.2650963764137,36.40355933879547,44.663041559567006,81.06660089836248,0.010932178067628903,0.8862345163583039
NI7,3,2,0.89802227,C,70,70,21.1,2023-07-28T16:53:54Z,31,1226.036619586577,-17.01559553002564,-0.0010970670746,-152.32598676,2023-07-28,1226.036619586577,2023-07-27T11:08:00Z,32.2650963764137,37.99885192603451,46.62028476373893,84.61913668977344,0.010925311443287063,0.924490422397854
NI127,3,2,0.89802227,C,70,70,21.1,2023-07-28T15:56:07Z,6,1083.0161623809402,-15.424279046,-0.0010970670746,-152.32598676,2023-07-28,1083.0161623809402,2023-07-27T11:08:00Z,32.2650963764137,33.56618401960337,41.18190361308841,74.74808763269178,0.010942804478359212,0.8179537080958065
NI51,4,2,0.89802227,A,70,70,21.1,2023-07-28T16:31:17Z,21,1783.4001849308206,-16.677712223371795,-0.0010970670746,-152.32598676,2023-07-28,1783.4001849308206,2023-07-27T11:17:00Z,32.2650963764137,55.27335682265355,67.81414448878,123.08750131143354,0.010929025781028424,1.3452264751550271
NI25,4,2,0.89802227,A,70,70,21.1,2023-07-28T16:40:20Z,25,1853.399327465282,-17.25143491202564,-0.0010970670746,-152.32598676,2023-07-28,1853.399327465282,2023-07-27T11:17:00Z,32.2650963764137,57.44285731686661,70.47587571771716,127.91873303458378,0.010922718853815945,1.3972203570730968
NI135,4,2,0.89802227,B,70,70,21.1,2023-07-28T16:38:03Z,24,1998.304713934077,-17.593838592076924,-0.0010970670746,-152.32598676,2023-07-28,1998.304713934077,2023-07-27T11:19:00Z,32.2650963764137,61.93394529560028,75.98593167612144,137.91987697172172,0.010918954775596833,1.5059408993101087
NI77,4,2,0.89802227,B,70,70,21.1,2023-07-28T15:49:20Z,3,2054.550900767231,-17.341678421641024,-0.0010970670746,-152.32598676,2023-07-28,2054.550900767231,2023-07-27T11:19:00Z,32.2650963764137,63.677197080035384,78.12470404649348,141.80190112652886,0.010921726800585379,1.5487216239075683
NI13,4,2,0.89802227,C,70,70,21.1,2023-07-28T16:33:36Z,22,1751.5215773484745,-16.785675892846154,-0.0010970670746,-152.32598676,2023-07-28,1751.5215773484745,2023-07-27T11:20:00Z,32.2650963764137,54.28533536409532,66.60195413523117,120.8872894993265,0.010927838943740017,1.3210368299939137
NI18,4,2,0.89802227,C,70,70,21.1,2023-07-28T17:10:13Z,38,1826.1719257261625,-16.75787925802564,-0.0010970670746,-152.32598676,2023-07-28,1826.1719257261625,2023-07-27T11:20:00Z,32.2650963764137,56.59899181522741,69.44054838558372,126.03954020081115,0.010928144510531626,1.3773783093554246
34,5,2,0.89802227,A,70,70,21.1,2023-07-28T17:00:51Z,34,877.6840136073872,-8.702808079266667,-0.0010970670746,-152.32598676,2023-07-28,877.6840136073872,2023-07-27T11:39:00Z,32.2650963764137,27.202274661388838,33.37410807578923,60.576382737178065,0.011016685485815228,0.6673509564838578
BH21,5,2,0.89802227,A,70,70,21.1,2023-07-28T17:12:24Z,39,899.560824868459,-8.65632327525641,-0.0010970670746,-152.32598676,2023-07-28,899.560824868459,2023-07-27T11:39:00Z,32.2650963764137,27.880308007573543,34.20597814754749,62.08628615512103,0.011017196398657753,0.684016808234234
98,5,2,0.89802227,B,70,70,21.1,2023-07-28T17:19:29Z,42,1022.1635254513974,-5.595040289810257,-0.0010970670746,-152.32598676,2023-07-28,1022.1635254513974,2023-07-27T11:41:00Z,32.2650963764137,31.68016340402489,38.867970067419655,70.54813347144454,0.011050841690019018,0.7796162545192655
