Syringe,H2O_mL,air_mL,eq_temp,ResetTime
NI23,70,70,22.5,2023-08-01 17:36:32
NI12,70,70,22.5,2023-08-01 17:38:53
NI21,70,70,22.5,2023-08-01 17:41:12
NI9,70,70,22.5,2023-08-01 17:43:20
NI102,70,70,22.5,2023-08-01 17:45:29
NI20,70,70,22.5,2023-08-01 17:47:39
NI7,70,70,22.5,2023-08-01 17:49:51
NI18,70,70,22.5,2023-08-01 17:52:04
33,70,70,22.5,2023-08-01 17:54:17
34,70,70,22.5,2023-08-01 17:56:33
79,70,70,22.5,2023-08-01 17:58:45
95,70,70,22.5,2023-08-01 18:00:49
U028,70,70,22.5,2023-08-01 18:03:02
98,70,70,22.5,2023-08-01 18:05:02
92,70,70,22.5,2023-08-01 18:07:05
BH21,70,70,22.5,2023-08-01 18:09:17
