Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2_ppm,delCO2,CH4,delCH4,batch
NI70,70,70,22.7,2023-08-04 21:32:20,2023-08-04T21:32:20Z,1,2023-08-04T21:33:00Z,1467.2758459024744,-16.23559709403846,-0.0010970670746,713716.2093,2
NI135,70,70,22.7,2023-08-04 21:34:20,2023-08-04T21:34:20Z,2,2023-08-04T21:35:00Z,953.0216121230256,-14.18613211224359,-0.0010970670746,713716.2093,2
NI51,70,70,22.7,2023-08-04 21:36:21,2023-08-04T21:36:21Z,3,2023-08-04T21:37:01Z,1306.2799773677436,-15.920233753641027,-0.0010970670746,713716.2093,2
NI132,70,70,22.7,2023-08-04 21:38:28,2023-08-04T21:38:28Z,4,2023-08-04T21:39:08Z,1473.4110183380512,-15.693620704089744,-0.0010970670746,713716.2093,2
NI36,70,70,22.7,2023-08-04 21:40:25,2023-08-04T21:40:25Z,5,2023-08-04T21:41:05Z,1421.9312565752052,-16.1129061830641,-0.0010970670746,713716.2093,2
NI77,70,70,22.7,2023-08-04 21:42:23,2023-08-04T21:42:23Z,6,2023-08-04T21:43:03Z,989.2430828396282,-14.25736168574359,-0.0010970670746,713716.2093,2
NI20,70,70,22.7,2023-08-04 21:44:24,2023-08-04T21:44:24Z,7,2023-08-04T21:45:04Z,1288.0806205877564,-15.936003443064102,-0.0010970670746,713716.2093,2
NI6,70,70,22.7,2023-08-04 21:46:26,2023-08-04T21:46:26Z,8,2023-08-04T21:47:06Z,1488.998219978013,-16.433349967371797,-0.0010970670746,713716.2093,2
NI83,70,70,22.7,2023-08-04 21:48:21,2023-08-04T21:48:21Z,9,2023-08-04T21:49:01Z,1329.4833305697948,-15.691620045115384,-0.0010970670746,713716.2093,2
NI146,70,70,22.7,2023-08-04 21:50:21,2023-08-04T21:50:21Z,10,2023-08-04T21:51:01Z,1282.0573878300042,-15.892039880491453,-0.0010970670746,713716.2093,2
NI120,70,70,22.7,2023-08-04 21:52:07,2023-08-04T21:52:07Z,11,2023-08-04T21:52:47Z,1441.8761972125255,-16.384899530602564,-0.0010970670746,713716.2093,2
NI25,70,70,22.7,2023-08-04 21:54:25,2023-08-04T21:54:25Z,12,2023-08-04T21:55:05Z,1038.317171413436,-14.707106489756411,-0.0010970670746,713716.2093,2
NI15,70,70,22.7,2023-08-04 21:56:33,2023-08-04T21:56:33Z,13,2023-08-04T21:57:13Z,2002.5484828915512,-16.850488213076922,-0.0010970670746,713716.2093,2
NI23,70,70,22.7,2023-08-04 21:58:26,2023-08-04T21:58:26Z,14,2023-08-04T21:59:06Z,1016.738881947,-14.949070102307692,-0.0010970670746,713716.2093,2
