Syringe,Treatment,batch,equilpressure,replicate,volwater,volair,equiltemp,run_datetime,samplenum,CO2_ppm,delCO2,CH4,delCH4,rundate,CO2_conc_air,sample_datetime,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc_umolL,AF,CO2_13C_umolL
NI102,1,1,0.8956828,NA,70,70,22.5,2023-08-01T17:45:29Z,5,1161.755697994359,-19.045462884871796,-0.0010970670746,-152.32598676,2023-08-01,1161.755697994359,2023-07-31T16:49:00Z,31.042683191275625,37.42446137261949,43.85226268034697,81.27672405296646,0.010902996605010014,0.886159846415829
NI9,1,1,0.8956828,NA,70,70,22.5,2023-08-01T17:43:20Z,4,979.8650496427948,-18.225783322166667,-0.0010970670746,-152.32598676,2023-08-01,979.8650496427948,2023-07-31T16:49:00Z,31.042683191275625,31.5650887394354,36.9865193021293,68.5516080415647,0.010912007668153919,0.748035672613836
NI21,2,1,0.8956828,NA,70,70,22.5,2023-08-01T17:41:12Z,3,1498.4482648576538,-18.242295342115384,-0.0010970670746,-152.32598676,2023-08-01,1498.4482648576538,2023-07-31T17:05:00Z,31.042683191275625,48.27057814637571,56.56124350144312,104.83182164781883,0.010911826146577774,1.1439066124500474
NI23,2,1,0.8956828,NA,70,70,22.5,2023-08-01T17:36:32Z,1,1504.9215283693843,-17.98115742694872,-0.0010970670746,-152.32598676,2023-08-01,1504.9215283693843,2023-07-31T17:05:00Z,31.042683191275625,48.47910598115868,56.805586828018214,105.2846928091769,0.010914696906013443,1.149150510854899
NI12,3,1,0.8956828,NA,70,70,22.5,2023-08-01T17:38:53Z,2,697.8790407740513,-14.678328840794872,-0.0010970670746,-152.32598676,2023-08-01,697.8790407740513,2023-07-31T17:23:00Z,31.042683191275625,22.481273170683465,26.342521984584117,48.82379515526758,0.010951004352026289,0.5346695932277753
NI20,3,1,0.8956828,NA,70,70,22.5,2023-08-01T17:47:39Z,6,946.5565401067392,-18.083887390119656,-0.0010970670746,-152.32598676,2023-08-01,946.5565401067392,2023-07-31T17:23:00Z,31.042683191275625,30.492098066212385,35.72923817823414,66.22133624444653,0.010913567569847621,0.7227110276693666
NI18,4,1,0.8956828,NA,70,70,22.5,2023-08-01T17:52:04Z,8,1428.7939113397692,-17.91952564023077,-0.0010970670746,-152.32598676,2023-08-01,1428.7939113397692,2023-07-31T17:32:00Z,31.042683191275625,46.02675298832814,53.93203237506838,99.95878536339653,0.010915374438413972,1.0910875706505272
NI7,4,1,0.8956828,NA,70,70,22.5,2023-08-01T17:49:51Z,7,1548.9557001542437,-18.578694373166663,-0.0010970670746,-152.32598676,2023-08-01,1548.9557001542437,2023-07-31T17:32:00Z,31.042683191275625,49.89761002971448,58.46772463492102,108.3653346646355,0.010908127996863824,1.1820629409448284
34,5,1,0.8956828,NA,70,70,22.5,2023-08-01T17:56:33Z,10,963.8478478213846,-14.870264250025642,-0.0010970670746,-152.32598676,2023-08-01,963.8478478213846,2023-07-31T18:09:00Z,31.042683191275625,31.049115241825124,36.38192528732119,67.4310405291463,0.010948894510905353,0.7382953495142064
33,5,1,0.8956828,NA,70,70,22.5,2023-08-01T17:54:17Z,9,1713.9750660368077,-15.239966469397435,-0.0010970670746,-152.32598676,2023-08-01,1713.9750660368077,2023-07-31T18:09:00Z,31.042683191275625,55.213496058823644,64.69663540550681,119.91013146433043,0.010944830550966837,1.3123960702212536
U028,6,1,0.8956828,NA,70,70,22.5,2023-08-01T18:03:02Z,13,1977.6336577121283,-16.87587856579487,-0.0010970670746,-152.32598676,2023-08-01,1977.6336577121283,2023-07-31T18:17:00Z,31.042683191275625,63.70691752148317,74.64883606183847,138.35575358332167,0.010926847349696562,1.511792199357189
BH21,6,1,0.8956828,NA,70,70,22.5,2023-08-01T18:09:17Z,16,1573.4189696913718,-15.402339769102564,-0.0010970670746,-152.32598676,2023-08-01,1573.4189696913718,2023-07-31T18:17:00Z,31.042683191275625,50.68566270500652,59.391128517178096,110.07679122218461,0.010943045648272793,1.20457535115976
79,7,1,0.8956828,NA,70,70,22.5,2023-08-01T17:58:45Z,11,1102.1933666895386,-14.690330243282052,-0.0010970670746,-152.32598676,2023-08-01,1102.1933666895386,2023-07-31T18:26:00Z,31.042683191275625,35.50573769342542,41.60399051543134,77.10972820885675,0.010950872427427588,0.8444187965288047
92,7,1,0.8956828,NA,70,70,22.5,2023-08-01T18:07:05Z,15,1028.99853709,-14.450344608384617,-0.0010970670746,-152.32598676,2023-08-01,1028.99853709,2023-07-31T18:26:00Z,31.042683191275625,33.147860664930995,38.84113865252807,71.98899931745906,0.010953510446474935,0.7885322560550648
95,8,1,0.8956828,NA,70,70,22.5,2023-08-01T18:00:49Z,12,1578.1162041621496,-13.719451027337607,-0.0010970670746,-152.32598676,2023-08-01,1578.1162041621496,2023-07-31T18:35:00Z,31.042683191275625,50.83697805496628,59.56843288524733,110.4054109402136,0.01096154463728876,1.2102138402193603
98,8,1,0.8956828,NA,70,70,22.5,2023-08-01T18:05:02Z,14,2197.9649762390854,-16.249575009081198,-0.0010970670746,-152.32598676,2023-08-01,2197.9649762390854,2023-07-31T18:35:00Z,31.042683191275625,70.80460676340026,82.96558189181953,153.77018865521978,0.01093373223631388,1.6812820686836434
NI135,1,2,0.89969332,A,70,70,22.7,2023-08-04T21:34:20Z,2,953.0216121230256,-14.18613211224359,-0.0010970670746,713716.2093,2023-08-04,953.0216121230256,2023-08-04T10:14:00Z,30.87279627422008,30.86930006786699,36.10991917988345,66.97921924775044,0.010956414760693155,0.7338521064257559
