Syringe,Treatment,batch,sample_date,sample_time,equilpressure,replicate
NI102,1,1,7/31/2023,16:49,0.8956828,
NI9,1,1,7/31/2023,16:49,0.8956828,
NI21,2,1,7/31/2023,17:05,0.8956828,
NI23,2,1,7/31/2023,17:05,0.8956828,
NI12,3,1,7/31/2023,17:23,0.8956828,
NI20,3,1,7/31/2023,17:23,0.8956828,
NI18,4,1,7/31/2023,17:32,0.8956828,
NI7,4,1,7/31/2023,17:32,0.8956828,
34,5,1,7/31/2023,18:09,0.8956828,
33,5,1,7/31/2023,18:09,0.8956828,
U028,6,1,7/31/2023,18:17,0.8956828,
BH21,6,1,7/31/2023,18:17,0.8956828,
79,7,1,7/31/2023,18:26,0.8956828,
92,7,1,7/31/2023,18:26,0.8956828,
95,8,1,7/31/2023,18:35,0.8956828,
98,8,1,7/31/2023,18:35,0.8956828,
NI135,1,2,8/4/2023,10:14,0.89969332,A
NI77,1,2,8/4/2023,10:14,0.89969332,A
NI24,1,2,8/4/2023,10:20,0.89969332,B
NI7,1,2,8/4/2023,10:20,0.89969332,B
NI25,1,2,8/4/2023,10:25,0.89969332,C
NI23,1,2,8/4/2023,10:25,0.89969332,C
NI18,1,2,8/4/2023,10:29,0.89969332,D
NI13,1,2,8/4/2023,10:29,0.89969332,D
NI120,2,2,8/4/2023,10:34,0.89969332,A
NI132,2,2,8/4/2023,10:34,0.89969332,A
NI70,2,2,8/4/2023,10:38,0.89969332,B
NI36,2,2,8/4/2023,10:38,0.89969332,B
NI88,2,2,8/4/2023,10:42,0.89969332,C
NI21,2,2,8/4/2023,10:42,0.89969332,C
NI117,2,2,8/4/2023,10:47,0.89969332,D
NI6,2,2,8/4/2023,10:47,0.89969332,D
NI146,3,2,8/4/2023,10:53,0.89969332,A
NI83,3,2,8/4/2023,10:53,0.89969332,A
NI9,3,2,8/4/2023,10:56,0.89969332,B
NI51,3,2,8/4/2023,10:56,0.89969332,B
NI110,3,2,8/4/2023,11:00,0.89969332,C
NI20,3,2,8/4/2023,11:00,0.89969332,C
NI17,3,2,8/4/2023,11:04,0.89969332,D
NI12,3,2,8/4/2023,11:04,0.89969332,D
NI8,4,2,8/4/2023,11:09,0.89969332,A
NI91,4,2,8/4/2023,11:09,0.89969332,A
NI1,4,2,8/4/2023,11:12,0.89969332,B
NI127,4,2,8/4/2023,11:12,0.89969332,B
NI108,4,2,8/4/2023,11:17,0.89969332,C
NI102,4,2,8/4/2023,11:17,0.89969332,C
NI66,4,2,8/4/2023,11:21,0.89969332,D
NI15,4,2,8/4/2023,11:21,0.89969332,D
74,5,2,8/4/2023,11:36,0.89969332,A
73,5,2,8/4/2023,11:36,0.89969332,A
79,5,2,8/4/2023,11:43,0.89969332,B
J01,5,2,8/4/2023,11:43,0.89969332,B
029,5,2,8/4/2023,11:47,0.89969332,C
BH12,5,2,8/4/2023,11:47,0.89969332,C
98,5,2,8/4/2023,11:50,0.89969332,D
8G,5,2,8/4/2023,11:50,0.89969332,D
86,6,2,8/4/2023,12:00,0.89969332,A
81,6,2,8/4/2023,12:00,0.89969332,A
U013,6,2,8/4/2023,12:02,0.89969332,B
U028,6,2,8/4/2023,12:02,0.89969332,B
33,6,2,8/4/2023,12:05,0.89969332,C
92,6,2,8/4/2023,12:05,0.89969332,C
BH21,6,2,8/4/2023,12:08,0.89969332,D
144,6,2,8/4/2023,12:08,0.89969332,D
U025,7,2,8/4/2023,12:16,0.89969332,A
83,7,2,8/4/2023,12:16,0.89969332,A
34,7,2,8/4/2023,12:19,0.89969332,B
U033,7,2,8/4/2023,12:19,0.89969332,B
55,7,2,8/4/2023,12:21,0.89969332,C
32,7,2,8/4/2023,12:21,0.89969332,C
28,7,2,8/4/2023,12:24,0.89969332,D
014,7,2,8/4/2023,12:24,0.89969332,D
BH05,8,2,8/4/2023,12:31,0.89969332,A
2,8,2,8/4/2023,12:31,0.89969332,A
126,8,2,8/4/2023,12:33,0.89969332,B
95,8,2,8/4/2023,12:33,0.89969332,B
U030,8,2,8/4/2023,12:37,0.89969332,C
37,8,2,8/4/2023,12:37,0.89969332,C
70,8,2,8/4/2023,12:40,0.89969332,D
BH20,8,2,8/4/2023,12:40,0.89969332,D
