Syringe,H2O_mL,air_mL,eq_temp,ResetTime
Std_2A,0,70,22.2,2023-10-04 23:58:26
Std_2B,0,70,22.2,2023-10-05 00:01:02
Std_2C,0,70,22.2,2023-10-05 00:03:45
NI78,70,70,22.2,2023-10-05 00:07:08
NI37,70,70,22.2,2023-10-05 00:09:20
NI24,70,70,22.2,2023-10-05 00:11:27
NI110,70,70,22.2,2023-10-05 00:13:30
NI118,70,70,22.2,2023-10-05 00:15:39
NI43,70,70,22.2,2023-10-05 00:17:54
NI8,70,70,22.2,2023-10-05 00:20:05
NI98,70,70,22.2,2023-10-05 00:22:18
NI117,70,70,22.2,2023-10-05 00:24:32
NI27,70,70,22.2,2023-10-05 00:26:43
NI88,70,70,22.2,2023-10-05 00:28:53
NI19,70,70,22.2,2023-10-05 00:31:01
NI25,70,70,22.2,2023-10-05 00:33:02
NI16,70,70,22.2,2023-10-05 00:35:11
NI9,70,70,22.2,2023-10-05 00:37:15
NI44,70,70,22.2,2023-10-05 00:39:23
NI29,70,70,22.2,2023-10-05 00:41:29
NI93,70,70,22.2,2023-10-05 00:43:38
NI6,70,70,22.2,2023-10-05 00:45:46
NI36,70,70,22.2,2023-10-05 00:47:49
NI1,70,70,22.2,2023-10-05 00:50:02
NI30,70,70,22.2,2023-10-05 00:52:13
NI34,70,70,22.2,2023-10-05 00:54:15
NI112,70,70,22.2,2023-10-05 00:56:21
NI13,70,70,22.2,2023-10-05 00:58:28
NI69,70,70,22.2,2023-10-05 01:00:45
NI139,70,70,22.2,2023-10-05 01:02:48
NI132,70,70,22.2,2023-10-05 01:05:00
NI26,70,70,22.2,2023-10-05 01:07:13
NI33,70,70,22.2,2023-10-05 01:09:30
NI32,70,70,22.2,2023-10-05 01:11:44
NI28,70,70,22.2,2023-10-05 01:14:02
NI47,70,70,22.2,2023-10-05 01:16:06
126,70,70,22.2,2023-10-05 01:18:21
NI138,70,70,22.2,2023-10-05 01:20:25
81,70,70,22.2,2023-10-05 01:22:30
NI14,70,70,22.2,2023-10-05 01:24:33
NI83,70,70,22.2,2023-10-05 01:26:37
NI10,70,70,22.2,2023-10-05 01:28:40
NI89,70,70,22.2,2023-10-05 01:30:48
NI77,70,70,22.2,2023-10-05 01:32:58
NI146,70,70,22.2,2023-10-05 01:35:01
NI46,70,70,22.2,2023-10-05 01:37:10
NI111,70,70,22.2,2023-10-05 01:39:07
NI21,70,70,22.2,2023-10-05 01:41:21
NI72,70,70,22.2,2023-10-05 01:43:39
NI2,70,70,22.2,2023-10-05 01:45:35
NI12,70,70,22.2,2023-10-05 01:47:58
NI15,70,70,22.2,2023-10-05 01:50:14
NI61,70,70,22.2,2023-10-05 01:52:18
NI67,70,70,22.2,2023-10-05 01:54:27
NI80,70,70,22.2,2023-10-05 01:56:31
NI66,70,70,22.2,2023-10-05 01:58:45
NI105,70,70,22.2,2023-10-05 02:01:00
NI18,70,70,22.2,2023-10-05 02:03:08
NI7,70,70,22.2,2023-10-05 02:05:22
NI71,70,70,22.2,2023-10-05 02:07:40
NI51,70,70,22.2,2023-10-05 02:09:51
NI84,70,70,22.2,2023-10-05 02:11:56
NIBH03,70,70,22.2,2023-10-05 02:14:02
NI135,70,70,22.2,2023-10-05 02:16:13
NI31,70,70,22.2,2023-10-05 02:18:17
NI114,70,70,22.2,2023-10-05 02:20:26
NI11,70,70,22.2,2023-10-05 02:22:33
NI130,70,70,22.2,2023-10-05 02:24:33
NI123,70,70,22.2,2023-10-05 02:26:36
92A,70,70,22.2,2023-10-05 02:28:48
BH20,70,70,22.2,2023-10-05 02:30:51
U013,70,70,22.2,2023-10-05 02:32:52
BH12,70,70,22.2,2023-10-05 02:35:07
51,70,70,22.2,2023-10-05 02:37:08
BH21,70,70,22.2,2023-10-05 02:39:08
2,70,70,22.2,2023-10-05 02:41:16
10,70,70,22.2,2023-10-05 02:43:19
BH06,70,70,22.2,2023-10-05 02:45:36
17A,70,70,22.2,2023-10-05 02:47:43
J02,70,70,22.2,2023-10-05 02:49:54
U025,70,70,22.2,2023-10-05 02:52:01
24,70,70,22.2,2023-10-05 02:54:13
029,70,70,22.2,2023-10-05 02:56:32
BH01,70,70,22.2,2023-10-05 02:58:41
95,70,70,22.2,2023-10-05 03:00:48
U011,70,70,22.2,2023-10-05 03:02:57
71,70,70,22.2,2023-10-05 03:05:05
72,70,70,22.2,2023-10-05 03:07:16
134,70,70,22.2,2023-10-05 03:09:39
BH05,70,70,22.2,2023-10-05 03:12:07
U058,70,70,22.2,2023-10-05 03:14:17
33,70,70,22.2,2023-10-05 03:16:31
BH02,70,70,22.2,2023-10-05 03:18:52
17,70,70,22.2,2023-10-05 03:21:12
31,70,70,22.2,2023-10-05 03:23:28
73,70,70,22.2,2023-10-05 03:25:44
011,70,70,22.2,2023-10-05 03:27:56
32,70,70,22.2,2023-10-05 03:30:04
U033,70,70,22.2,2023-10-05 03:32:18
128,70,70,22.2,2023-10-05 03:34:23
5,70,70,22.2,2023-10-05 03:36:32
026,70,70,22.2,2023-10-05 03:38:39
28,70,70,22.2,2023-10-05 03:40:49
014,70,70,22.2,2023-10-05 03:42:55
U048,70,70,22.2,2023-10-05 03:45:03
13,70,70,22.2,2023-10-05 03:47:20
34,70,70,22.2,2023-10-05 03:49:30
82,70,70,22.2,2023-10-05 03:51:55
55,70,70,22.2,2023-10-05 03:53:55
4,70,70,22.2,2023-10-05 03:56:05
53,70,70,22.2,2023-10-05 03:58:13
132,70,70,22.2,2023-10-05 04:00:13
74,70,70,22.2,2023-10-05 04:02:31
92,70,70,22.2,2023-10-05 04:04:37
J01,70,70,22.2,2023-10-05 04:06:41
U018,70,70,22.2,2023-10-05 04:08:52
30,70,70,22.2,2023-10-05 04:10:53
79,70,70,22.2,2023-10-05 04:12:58
144,70,70,22.2,2023-10-05 04:15:12
BH11,70,70,22.2,2023-10-05 04:17:21
83,70,70,22.2,2023-10-05 04:19:30
70,70,70,22.2,2023-10-05 04:21:47
37,70,70,22.2,2023-10-05 04:24:13
70B,70,70,22.2,2023-10-05 04:26:17
U030,70,70,22.2,2023-10-05 04:28:23
BH15,70,70,22.2,2023-10-05 04:30:35
122,70,70,22.2,2023-10-05 04:32:48
BH16,70,70,22.2,2023-10-05 04:35:05
98,70,70,22.2,2023-10-05 04:37:20
U005,70,70,22.2,2023-10-05 04:39:26
