Syringe,Treatment,batch,equilpressure,replicate,volwater,volair,equiltemp,run_datetime,samplenum,CO2_ppm,delCO2,CH4,delCH4,rundate,CO2_conc_air,sample_datetime,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc_umolL,AF,CO2_13C_umolL
NI69,1,1,0.89367754,NA,70,70,21.1,2023-09-30T01:36:42Z,18,616.4479103185897,-15.617974514935897,-0.0010970670746,872651.28752,2023-09-30,616.4479103185897,2023-09-29T15:53:00Z,32.2650963764137,19.10572040842323,23.327145656466012,42.43286606488925,0.01094067525451665,0.46424420773435304
NI19,1,1,0.89367754,NA,70,70,21.1,2023-09-30T01:30:01Z,15,664.7415859649808,-16.77103867644872,-0.0010970670746,872651.28752,2023-09-30,664.7415859649808,2023-09-29T15:53:00Z,32.2650963764137,20.602498074387203,25.1546376265617,45.75713570094891,0.010927999849832991,0.5000339720687574
NI36,2,1,0.89367754,NA,70,70,21.1,2023-09-30T01:21:18Z,11,851.8769117190436,-15.985263366961538,-0.0010970670746,872651.28752,2023-09-30,851.8769117190436,2023-09-29T15:59:00Z,32.2650963764137,26.402428859371987,32.23606807391153,58.63849693328351,0.01093663775657662,0.6413079995494508
NI117,2,1,0.89367754,NA,70,70,21.1,2023-09-30T01:12:40Z,7,693.7766677258179,-16.819370440051284,-0.0010970670746,872651.28752,2023-09-30,693.7766677258179,2023-09-29T15:59:00Z,32.2650963764137,21.50238944375135,26.253360762848114,47.755750206599465,0.010927468541287082,0.5218494580481797
NI1,3,1,0.89367754,NA,70,70,21.1,2023-09-30T02:15:39Z,35,680.0049384209692,-16.356553730871795,-0.0010970670746,872651.28752,2023-09-30,680.0049384209692,2023-09-29T16:04:00Z,32.2650963764137,21.07555887910081,25.73222162025682,46.807780499357634,0.010932556237693335,0.5117286926708328
NI25,3,1,0.89367754,NA,70,70,21.1,2023-09-30T01:14:49Z,8,584.6104326270872,-15.792155314653844,-0.0010970670746,872651.28752,2023-09-30,584.6104326270872,2023-09-29T16:04:00Z,32.2650963764137,18.11897369860165,22.12237641803946,40.241350116641115,0.010938760540506654,0.44019049275262667
NI132,4,1,0.89367754,NA,70,70,21.1,2023-09-30T01:16:58Z,9,658.040848905773,-15.190799081948718,-0.0010970670746,872651.28752,2023-09-30,658.040848905773,2023-09-29T16:09:00Z,32.2650963764137,20.39482049670279,24.901073510649564,45.295894007352345,0.010945371026501576,0.4957803658875607
NI24,4,1,0.89367754,NA,70,70,21.1,2023-09-30T01:38:49Z,19,643.9557501786244,-15.517430231153847,-0.0010970670746,872651.28752,2023-09-30,643.9557501786244,2023-09-29T16:09:00Z,32.2650963764137,19.9582775971302,24.368076084437032,44.326353681567234,0.010941780502404366,0.48500923245565236
92,5,1,0.89367754,NA,70,70,21.1,2023-09-30T01:58:45Z,27,590.8913574736974,-15.063497892807693,-0.0010970670746,872651.28752,2023-09-30,590.8913574736974,2023-09-29T16:14:00Z,32.2650963764137,18.31363993400771,22.360054324480043,40.67369425848775,0.010946770389919081,0.44524559195743546
31,5,1,0.89367754,NA,70,70,21.1,2023-09-30T01:54:59Z,26,731.3404845791936,-16.85090962425641,-0.0010970670746,872651.28752,2023-09-30,731.3404845791936,2023-09-29T16:14:00Z,32.2650963764137,22.666613979613434,27.674821704614704,50.34143568422814,0.010927121832379202,0.5500870009384426
13,6,1,0.89367754,NA,70,70,21.1,2023-09-30T01:52:50Z,25,743.796098946309,-15.513351559833334,-0.0010970670746,872651.28752,2023-09-30,743.796098946309,2023-09-29T16:21:00Z,32.2650963764137,23.05265387305757,28.14615744234526,51.198811315402835,0.010941825337749053,0.5602084509135077
17,6,1,0.89367754,NA,70,70,21.1,2023-09-30T01:23:26Z,12,651.7944337156868,-15.816778247264956,-0.0010970670746,872651.28752,2023-09-30,651.7944337156868,2023-09-29T16:21:00Z,32.2650963764137,20.201223827496726,24.6647014919747,44.86592531947143,0.010938489867859117,0.49076546951916206
70,7,1,0.89367754,NA,70,70,21.1,2023-09-30T01:19:03Z,10,619.9720111102872,-13.91248593775641,-0.0010970670746,872651.28752,2023-09-30,619.9720111102872,2023-09-29T16:28:00Z,32.2650963764137,19.21494372362999,23.460501956487388,42.67544568011738,0.01095942275515239,0.46769825047294816
30,7,1,0.89367754,NA,70,70,21.1,2023-09-30T02:09:14Z,32,603.6048637220218,-13.91335555074359,-0.0010970670746,872651.28752,2023-09-30,603.6048637220218,2023-09-29T16:28:00Z,32.2650963764137,18.707672733414384,22.841149007574646,41.548821740989034,0.010959413196154823,0.45535070527287963
87,8,1,0.89367754,NA,70,70,21.1,2023-09-30T02:02:57Z,29,588.4383767037107,-14.512774902726497,-0.0010970670746,872651.28752,2023-09-30,588.4383767037107,2023-09-29T16:33:00Z,32.2650963764137,18.23761410283183,22.26723052094988,40.504844623781715,0.0109528241888134,0.44364244195948477
BH11,8,1,0.89367754,NA,70,70,21.1,2023-09-30T02:00:53Z,28,672.5278178645551,-15.642237078794873,-0.0010970670746,872651.28752,2023-09-30,672.5278178645551,2023-09-29T16:33:00Z,32.2650963764137,20.843818658362466,25.449278199749017,46.29309685811148,0.010940408544330404,0.5064653924099979
NI16,1,2,0.90069595,A,70,70,22.2,2023-10-05T00:35:11Z,17,692.7322458342397,-15.944327073692309,-0.0010970670746,872651.28752,2023-10-05,692.7322458342397,2023-10-04T12:47:00Z,31.29970419253365,22.13222979913934,26.32130898168662,48.45353878082595,0.01093708775879786,0.5299406058702089
NI36,1,2,0.90069595,A,70,70,22.2,2023-10-05T00:47:49Z,23,654.4748099268171,-15.839217653777778,-0.0010970670746,872651.28752,2023-10-05,654.4748099268171,2023-10-04T12:47:00Z,31.29970419253365,20.90993595022339,24.867665387900026,45.77760133812342,0.010938243197941977,0.500726536454828
NI13,1,2,0.90069595,B,70,70,22.2,2023-10-05T00:58:28Z,28,625.6651398098013,-15.284917100282051,-0.0010970670746,872651.28752,2023-10-05,625.6651398098013,2023-10-04T12:57:00Z,31.29970419253365,19.989490506400692,23.773002575001478,43.76249308140218,0.010944336427871461,0.4789514472052626
NI93,1,2,0.90069595,B,70,70,22.2,2023-10-05T00:43:38Z,21,614.2153848952256,-15.37622560402564,-0.0010970670746,872651.28752,2023-10-05,614.2153848952256,2023-10-04T12:57:00Z,31.29970419253365,19.623680182950192,23.337953479649787,42.96163366259998,0.010943332710950411,0.4701434509757987
NI25,1,2,0.90069595,C,70,70,22.2,2023-10-05T00:33:02Z,16,629.7591951576179,-15.127270134166666,-0.0010970670746,872651.28752,2023-10-05,629.7591951576179,2023-10-04T12:59:00Z,31.29970419253365,20.120292232916473,23.928561806502582,44.048854039419055,0.010946069371498108,0.4821618120504756
NI98,1,2,0.90069595,C,70,70,22.2,2023-10-05T00:22:18Z,11,664.5399697884004,-15.437650771747863,-0.0010970670746,872651.28752,2023-10-05,664.5399697884004,2023-10-04T12:59:00Z,31.29970419253365,21.231509591931616,25.250104900799787,46.4816144927314,0.010942657488135983,0.5086323868895373
NI8,1,2,0.90069595,D,70,70,22.2,2023-10-05T00:20:05Z,10,656.2181541905808,-15.919494730846154,-0.0010970670746,872651.28752,2023-10-05,656.2181541905808,2023-10-04T13:02:00Z,31.29970419253365,20.96563437641425,24.93390613719951,45.899540513613765,0.010937360734203753,0.5020198321315936
