Analysis_Date,Picarro_sample_ID,Sample_ID,sample_type,trt,leachate,Collection_date,DOC_mgL,Picarro_starttime,Picarro_endtime,     Max_12CO2_ppm,CO2_12_Integral,CO2_13_Integral,           Delta_13C,CO2_12_Baseline,CO2_13_Baseline,N_points,time_interval_s,CO2_12_ppm_min,
7/13/2023,4,TOC CAL#2,cal,,,,0.50,      2023/07/13 23:31:23,7/13/2023 23:39,22.687,5865.419,65.226,-11.066,1.079,0.011,1051,503.52,130.094609,260.1892179
7/13/2023,5,TOC CAL#3,cal,,,,1.00,      2023/07/13 23:52:51,7/14/2023 0:02,40.758,10568.271,116.515,-19.508,1.013,0.01,1242,594.817,234.3214071,234.3214071
7/13/2023,6,TOC CAL#4,cal,,,,5.00,      2023/07/14 00:15:32,7/14/2023 0:28,188.221,48234.438,527.588,-27.205,0.918,0.01,1642,786.129,1069.114295,213.8228589
7/13/2023,7,TOC CAL#5,cal,,,,10.00,      2023/07/14 00:41:14,7/14/2023 0:55,375.511,96129.199,1049.831,-28.668,1.036,0.01,1810,866.305,2130.069719,213.0069719
7/13/2023,9,MDL,cal,,,,0.30,      2023/07/14 01:26:21,7/14/2023 1:33,14.923,3737.336,41.916,-2.448,1.505,0.016,877,419.242,82.71296398,275.7098799
7/13/2023,10,LCS-01,cal,,,,1.50,      2023/07/14 01:46:16,7/14/2023 1:56,57.782,14895.501,164.405,-18.298,0.821,0.007,1338,639.126,329.4061746,219.6041164
7/13/2023,11,LCS-Cane Sugar,cal,,,,6.50,      2023/07/14 02:09:30,7/14/2023 2:23,239.206,61274.819,681.29,-11.041,0.777,0.006,1703,814.576,1356.891895,208.7525992
7/13/2023,12,LCS-02,cal,,,,7.50,      2023/07/14 02:35:42,7/14/2023 2:49,269.789,69095.592,758.069,-24.132,1.004,0.011,1731,828.414,1530.900458,204.120061
7/13/2023,14,glucose_A,conc,,,7/13/2023,9.14,      2023/07/14 03:19:12,7/14/2023 3:33,341.231,87397.667,972.438,-10.302,0.765,0.008,1792,858.176,1937.690669,212.0011673
7/13/2023,15,glucose_B,conc,,,7/13/2023,8.97,      2023/07/14 03:46:10,7/14/2023 4:00,335.663,86096.359,958.399,-9.836,1.081,0.009,1785,854.657,1908.467058,212.761099
7/13/2023,16,lake water,conc,,,7/13/2023,1.48,      2023/07/14 04:13:24,7/14/2023 4:24,60.946,16037.941,177.057,-18.001,1.304,0.014,1365,653.088,355.249858,240.0336878
7/13/2023,17,LW_7/13,sample,W,0,7/13/2023,1.57,      2023/07/14 04:37:14,7/14/2023 4:48,63.495,16665.122,183.978,-18.012,1.026,0.008,1373,657.064,369.2256657,235.1755832
7/13/2023,18,LW_NP_7/13,sample,NP,0,7/13/2023,1.43,      2023/07/14 05:01:17,7/14/2023 5:12,58.452,15366.443,169.71,-17.639,0.968,0.01,1351,646.776,340.579219,238.167286
7/13/2023,19,LW_CNP_7/13,sample,CNP,0,7/13/2023,2.44,      2023/07/14 05:25:00,7/14/2023 5:36,94.483,24650.535,272.884,-15.307,0.844,0.009,1473,705.502,546.5980785,224.0156059
7/13/2023,20,LW_C_7/13,sample,C,0,7/13/2023,2.51,      2023/07/14 05:49:41,7/14/2023 6:01,97.615,25443.888,281.632,-15.433,0.95,0.009,1487,711.694,563.7831087,224.6147844
7/13/2023,21,LW_leachate_7/13,sample,W,1,7/13/2023,1.62,      2023/07/14 06:14:34,7/14/2023 6:25,64.061,16761.185,1068.69,4671.528,0.975,0.01,1374,658.747,372.034218,229.6507518
7/13/2023,22,LW_NP_leachate_7/13,sample,NP,1,7/13/2023,1.51,      2023/07/14 06:38:34,7/14/2023 6:49,59.934,15719.693,1089.56,5165.287,0.941,0.015,1356,649.519,348.5960641,230.8583206
7/13/2023,23,LW_CNP_leachate_7/13,sample,CNP,1,7/13/2023,2.52,      2023/07/14 07:02:16,7/14/2023 7:14,95.952,24985.134,1236.184,3401.073,0.842,0.014,1480,709.482,554.5077215,220.0427466
7/13/2023,24,glucose_A_REP,conc,,,7/13/2023,9.14,      2023/07/14 07:26:44,7/14/2023 7:41,343.731,88207.242,1012.805,21.352,0.854,0.014,1791,858.849,1958.266166,214.2523157
7/14/2023,4,TOC CAL#2,cal,,,,0.50,      2023/07/14 19:32:48,7/14/2023 19:41,22.303,5790.883,68.333,49.595,0.957,0.01,1046,500.252,128.2177609,256.4355218
