Syringe,Treatment,batch,equilpressure,replicate,volwater,volair,equiltemp,run_datetime,samplenum,CO2_ppm,delCO2,CH4,delCH4,rundate,CO2_conc_air,sample_datetime,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc_umolL,AF,CO2_13C_umolL
32,1,1,0.89768806,1,70,70,22.5,2023-07-13T21:28:35Z,6,410.6964118493924,-9.815900035712122,0.7888253228433333,-56.36257618009091,2023-07-13,410.6964118493924,2023-07-13T13:04:00Z,31.042683191275625,13.230055189456573,15.537077017958259,28.767132207414832,0.011004451373693824,0.316566507537118
95,1,1,0.89768806,1,70,70,22.5,2023-07-13T21:38:48Z,10,375.1281131149848,-9.203168365451516,0.7744601133212121,-45.48684764115151,2023-07-13,375.1281131149848,2023-07-13T13:04:00Z,31.042683191275625,12.084268321895978,14.191490884527676,26.275759206423654,0.011011186010122957,0.2893272721791316
029,2,1,0.89768806,2,70,70,22.5,2023-07-13T21:56:49Z,17,1081.8650960796874,-13.71530057265625,0.799155573881875,-51.469633363937504,2023-07-13,1081.8650960796874,2023-07-13T13:25:00Z,31.042683191275625,34.85088867523345,40.92809392986612,75.77898260509959,0.010961590259898301,0.8306581576290624
U018,2,1,0.89768806,2,70,70,22.5,2023-07-13T21:33:28Z,8,1035.9018989758126,-13.411337835984376,0.786299471148125,-44.45231981709375,2023-07-13,1035.9018989758126,2023-07-13T13:25:00Z,31.042683191275625,33.37024356409201,39.1892578631503,72.55950142724232,0.010964931466302749,0.7956099603788086
U005,3,1,0.89768806,3,70,70,22.5,2023-07-13T21:54:21Z,16,376.7384819590651,-8.749798392032291,0.8102330229275,-46.52141919559375,2023-07-13,376.7384819590651,2023-07-13T13:40:00Z,31.042683191275625,12.136144277146293,14.252412830850819,26.388557107997112,0.011016169016407276,0.29070080520081176
71,3,1,0.89768806,3,70,70,22.5,2023-07-13T21:19:01Z,2,369.8042443472313,-10.772191714004688,0.7956626421990625,-51.02148047909375,2023-07-13,369.8042443472313,2023-07-13T13:40:00Z,31.042683191275625,11.912766756295175,13.990083332156797,25.902850088451974,0.010993940428382839,0.2847743907977721
30,4,1,0.89768806,4,70,70,22.5,2023-07-13T21:30:55Z,7,1013.3872969485312,-13.181753587203126,0.7928169819528125,-47.07073929171875,2023-07-13,1013.3872969485312,2023-07-13T13:50:00Z,31.042683191275625,32.644964699228645,38.337506799265114,70.98247149849377,0.010967455077657527,0.7784970674608361
55,4,1,0.89768806,4,70,70,22.5,2023-07-13T21:23:41Z,4,1029.9404600080156,-13.733312098015626,0.773920426668125,-45.40792268962499,2023-07-13,1029.9404600080156,2023-07-13T13:50:00Z,31.042683191275625,33.178203496838016,38.963730359845776,72.14193385668379,0.010961392273658626,0.7907760363834453
BH13,5,1,0.89768806,5,70,70,22.5,2023-07-13T21:26:02Z,5,419.61635637746406,-9.860032367939064,0.754362689248125,-44.76226732240625,2023-07-13,419.61635637746406,2023-07-13T14:03:00Z,31.042683191275625,13.51739969743965,15.874527896831259,29.391927594270914,0.011003966304296495,0.32342778086567947
92,5,1,0.89768806,5,70,70,22.5,2023-07-13T21:48:43Z,14,388.3558115147242,-9.02678823004697,0.7740550043181819,-43.983818002,2023-07-13,388.3558115147242,2023-07-13T14:03:00Z,31.042683191275625,12.510381564692496,14.691908621029453,27.20229018572195,0.011013124616736135,0.29958221167597415
8G,6,1,0.89768806,6,70,70,22.5,2023-07-13T21:41:18Z,11,1678.6898725243282,-14.0295589099375,0.8421646845640625,-56.99176071040625,2023-07-13,1678.6898725243282,2023-07-13T14:13:00Z,31.042683191275625,54.07682906083694,63.506602653839586,117.58343171467651,0.01095813585889119,1.2884952194840802
U048,6,1,0.89768806,6,70,70,22.5,2023-07-13T21:51:17Z,15,996.4781515748124,-12.775906513046875,0.747904491620625,-44.2246418040625,2023-07-13,996.4781515748124,2023-07-13T14:13:00Z,31.042683191275625,32.10025839051397,37.6978160534992,69.79807444401318,0.010971916154830941,0.7658186205683609
70,7,1,0.89768806,7,70,70,22.5,2023-07-13T21:43:49Z,12,370.6919911167344,-8.49864643124375,0.7404446888371875,-43.9812196435625,2023-07-13,370.6919911167344,2023-07-13T14:23:00Z,31.042683191275625,11.941364373454526,14.023667725719191,25.96503209917372,0.011018929415360885,0.2861068559683749
5,7,1,0.89768806,7,70,70,22.5,2023-07-13T21:36:12Z,9,450.3657572803392,-9.953233731977956,0.9465677429409676,-48.37054016893549,2023-07-13,450.3657572803392,2023-07-13T14:23:00Z,31.042683191275625,14.507951986795781,17.037810059275,31.54576204607078,0.011002941903450131,0.34709618709297896
33,8,1,0.89768806,8,70,70,22.5,2023-07-13T21:21:27Z,3,1024.5310212752345,-13.8722033468125,0.749284087541875,-52.7057814641875,2023-07-13,1024.5310212752345,2023-07-13T14:40:00Z,31.042683191275625,33.003945405182414,38.75908560573975,71.76303101092216,0.010959865550992043,0.7865131714113794
