Syringe,Treatment,batch,sample_date,sample_time,equilpressure
32,1,1,7/13/2023,13:04,0.035342105
95,1,1,7/13/2023,13:04,0.035342105
29,2,1,7/13/2023,13:25,0.035342105
U018,2,1,7/13/2023,13:25,0.035342105
U005,3,1,7/13/2023,13:40,0.035342105
71,3,1,7/13/2023,13:40,0.035342105
30,4,1,7/13/2023,13:50,0.035342105
55,4,1,7/13/2023,13:50,0.035342105
BH13,5,1,7/13/2023,14:03,0.035342105
92,5,1,7/13/2023,14:03,0.035342105
8G,6,1,7/13/2023,14:13,0.035342105
U048,6,1,7/13/2023,14:13,0.035342105
70,7,1,7/13/2023,14:23,0.035342105
5,7,1,7/13/2023,14:23,0.035342105
33,8,1,7/13/2023,14:40,0.035342105
82,8,1,7/13/2023,14:40,0.035342105
71,1,2,7/17/2023,11:03,0.035210526
BH21,1,2,7/17/2023,11:03,0.035210526
U018,2,2,7/17/2023,11:07,0.035210526
U048,2,2,7/17/2023,11:07,0.035210526
U005,3,2,7/17/2023,11:11,0.035210526
95,3,2,7/17/2023,11:11,0.035210526
U002,4,2,7/17/2023,11:15,0.035210526
33,4,2,7/17/2023,11:15,0.035210526
BH13,5,2,7/17/2023,11:18,0.035210526
30,5,2,7/17/2023,11:18,0.035210526
32,6,2,7/17/2023,11:23,0.035210526
82,6,2,7/17/2023,11:23,0.035210526
55,7,2,7/17/2023,11:27,0.035210526
BH16,7,2,7/17/2023,11:27,0.035210526
146,8,2,7/17/2023,11:31,0.035210526
92,8,2,7/17/2023,11:31,0.035210526
33,5,3,7/18/2023,11:35,0.038087819
BH21,5,3,7/18/2023,11:35,0.038087819
BH05,5,3,7/18/2023,11:49,0.038087819
30,5,3,7/18/2023,11:49,0.038087819
72,5,3,7/18/2023,11:56,0.038087819
147,5,3,7/18/2023,11:56,0.038087819
74,5,3,7/18/2023,12:01,0.038087819
5,5,3,7/18/2023,12:01,0.038087819
79,6,3,7/18/2023,12:09,0.038087819
8G,6,3,7/18/2023,12:09,0.038087819
70,6,3,7/18/2023,12:13,0.038087819
U002,6,3,7/18/2023,12:13,0.038087819
95,6,3,7/18/2023,12:23,0.038087819
71,6,3,7/18/2023,12:23,0.038087819
U013,6,3,7/18/2023,12:37,0.038087819
U011,6,3,7/18/2023,12:37,0.038087819
92,7,3,7/18/2023,12:50,0.038087819
98,7,3,7/18/2023,12:50,0.038087819
29,7,3,7/18/2023,12:55,0.038087819
U018,7,3,7/18/2023,12:55,0.038087819
BH12,7,3,7/18/2023,13:02,0.038087819
73,7,3,7/18/2023,13:02,0.038087819
32,7,3,7/18/2023,13:10,0.038087819
144,7,3,7/18/2023,13:10,0.038087819
U048,8,3,7/18/2023,13:24,0.038087819
55,8,3,7/18/2023,13:24,0.038087819
37,8,3,7/18/2023,13:29,0.038087819
BH16,8,3,7/18/2023,13:29,0.038087819
BH13,8,3,7/18/2023,13:34,0.038087819
82,8,3,7/18/2023,13:34,0.038087819
U005,8,3,7/18/2023,13:39,0.038087819
81,8,3,7/18/2023,13:39,0.038087819
NI14,1,3,7/18/2023,14:23,0.038087819
NI24,1,3,7/18/2023,14:23,0.038087819
NI20,1,3,7/18/2023,14:30,0.038087819
NI23,1,3,7/18/2023,14:30,0.038087819
NI4,1,3,7/18/2023,14:36,0.038087819
NI22,1,3,7/18/2023,14:36,0.038087819
NI84,1,3,7/18/2023,14:42,0.038087819
NI13,1,3,7/18/2023,14:42,0.038087819
NI83,2,3,7/18/2023,14:49,0.038087819
NI15,2,3,7/18/2023,14:49,0.038087819
NI10,2,3,7/18/2023,14:54,0.038087819
NI19,2,3,7/18/2023,14:54,0.038087819
NI1,2,3,7/18/2023,15:00,0.038087819
NI25,2,3,7/18/2023,15:00,0.038087819
NI21,2,3,7/18/2023,15:05,0.038087819
NI16,2,3,7/18/2023,15:05,0.038087819
NI86,3,3,7/18/2023,16:30,0.038087819
NI77,3,3,7/18/2023,16:30,0.038087819
NI18,3,3,7/18/2023,16:35,0.038087819
NI7,3,3,7/18/2023,16:35,0.038087819
NI2,3,3,7/18/2023,16:40,0.038087819
NI102,3,3,7/18/2023,16:40,0.038087819
NI8,3,3,7/18/2023,16:45,0.038087819
NI89,3,3,7/18/2023,16:45,0.038087819
NI6,4,3,7/18/2023,16:52,0.038087819
NI9,4,3,7/18/2023,16:52,0.038087819
NI88,4,3,7/18/2023,16:57,0.038087819
NI11,4,3,7/18/2023,16:57,0.038087819
NI17,4,3,7/18/2023,17:02,0.038087819
NI91,4,3,7/18/2023,17:02,0.038087819
NI12,4,3,7/18/2023,17:07,0.038087819
NI5,4,3,7/18/2023,17:07,0.038087819
