Syringe,H2O_mL,air_mL,eq_temp,ResetTime,Treatment,DATETIME,samplenum,ENDTIME,CO2_ppm,delCO2,CH4,delCH4
Std_2,0,70,22.5,2023-07-13 21:16:37,0,2023-07-13T21:16:37Z,1,2023-07-13T21:17:17Z,1248.8161881940484,-24.660090501064516,0.10291507310567742,6.468496015241935
71,70,70,22.5,2023-07-13 21:19:01,3,2023-07-13T21:19:01Z,2,2023-07-13T21:19:41Z,369.80424434723125,-10.772191714004688,0.7956626421990625,-51.02148047909375
33,70,70,22.5,2023-07-13 21:21:27,8,2023-07-13T21:21:27Z,3,2023-07-13T21:22:07Z,1024.5310212752345,-13.8722033468125,0.749284087541875,-52.7057814641875
55,70,70,22.5,2023-07-13 21:23:41,4,2023-07-13T21:23:41Z,4,2023-07-13T21:24:21Z,1029.9404600080156,-13.733312098015626,0.773920426668125,-45.407922689624996
BH13,70,70,22.5,2023-07-13 21:26:02,5,2023-07-13T21:26:02Z,5,2023-07-13T21:26:42Z,419.61635637746406,-9.860032367939063,0.754362689248125,-44.76226732240625
32,70,70,22.5,2023-07-13 21:28:35,1,2023-07-13T21:28:35Z,6,2023-07-13T21:29:15Z,410.6964118493924,-9.815900035712122,0.7888253228433333,-56.36257618009091
30,70,70,22.5,2023-07-13 21:30:55,4,2023-07-13T21:30:55Z,7,2023-07-13T21:31:35Z,1013.3872969485312,-13.181753587203126,0.7928169819528125,-47.07073929171875
U018,70,70,22.5,2023-07-13 21:33:28,2,2023-07-13T21:33:28Z,8,2023-07-13T21:34:08Z,1035.9018989758126,-13.411337835984375,0.786299471148125,-44.45231981709375
5,70,70,22.5,2023-07-13 21:36:12,7,2023-07-13T21:36:12Z,9,2023-07-13T21:36:52Z,450.3657572803392,-9.953233731977956,0.9465677429409677,-48.370540168935484
95,70,70,22.5,2023-07-13 21:38:48,1,2023-07-13T21:38:48Z,10,2023-07-13T21:39:28Z,375.12811311498484,-9.203168365451516,0.7744601133212121,-45.48684764115151
8G,70,70,22.5,2023-07-13 21:41:18,6,2023-07-13T21:41:18Z,11,2023-07-13T21:41:58Z,1678.6898725243282,-14.0295589099375,0.8421646845640625,-56.99176071040625
70,70,70,22.5,2023-07-13 21:43:49,7,2023-07-13T21:43:49Z,12,2023-07-13T21:44:29Z,370.69199111673436,-8.49864643124375,0.7404446888371875,-43.9812196435625
82,70,70,22.5,2023-07-13 21:46:20,8,2023-07-13T21:46:20Z,13,2023-07-13T21:47:00Z,996.8923355975937,-13.31123790153125,0.7352581925821875,-44.6860951416875
92,70,70,22.5,2023-07-13 21:48:43,5,2023-07-13T21:48:43Z,14,2023-07-13T21:49:23Z,388.3558115147242,-9.02678823004697,0.7740550043181819,-43.983818002
U005,70,70,22.5,2023-07-13 21:54:21,3,2023-07-13T21:54:21Z,15,2023-07-13T21:55:01Z,376.7384819590651,-8.749798392032291,0.8102330229275,-46.52141919559375
029,70,70,22.5,2023-07-13 21:56:49,2,2023-07-13T21:56:49Z,16,2023-07-13T21:57:29Z,1081.8650960796874,-13.71530057265625,0.799155573881875,-51.469633363937504
