Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2_ppm,delCO2,CH4,delCH4,batch
BH16,70,70,22.4,2023-07-17 21:05:36,2023-07-17T21:05:36Z,1,2023-07-17T21:06:16Z,940.0604376621282,0.9097309980697436,-0.0010970670746,-152.32598676,2
92,70,70,22.4,2023-07-17 21:08:10,2023-07-17T21:08:10Z,2,2023-07-17T21:08:50Z,1482.3017472978077,-3.083991042566667,-0.0010970670746,-152.32598676,2
BH21,70,70,22.4,2023-07-17 21:10:54,2023-07-17T21:10:54Z,3,2023-07-17T21:11:34Z,418.2203166312692,-12.591487503196582,-0.0010970670746,-152.32598676,2
30,70,70,22.4,2023-07-17 21:13:39,2023-07-17T21:13:39Z,4,2023-07-17T21:14:19Z,450.34706886792947,3.620956575602564,-0.0010970670746,-152.32598676,2
33,70,70,22.4,2023-07-17 21:16:21,2023-07-17T21:16:21Z,5,2023-07-17T21:17:01Z,1541.6173068226667,-14.074462362653847,-0.0010970670746,-152.32598676,2
U002,70,70,22.4,2023-07-17 21:19:09,2023-07-17T21:19:09Z,6,2023-07-17T21:19:49Z,1638.832735802923,-14.409934812564103,-0.0010970670746,-152.32598676,2
95,70,70,22.4,2023-07-17 21:21:38,2023-07-17T21:21:38Z,7,2023-07-17T21:22:18Z,419.27801458053204,-13.574312975448718,-0.0010970670746,-152.32598676,2
82,70,70,22.4,2023-07-17 21:24:37,2023-07-17T21:24:37Z,8,2023-07-17T21:25:17Z,1002.6136248193077,-1.1158958544096154,-0.0010970670746,-152.32598676,2
U018,70,70,22.4,2023-07-17 21:27:04,2023-07-17T21:27:04Z,9,2023-07-17T21:27:44Z,1092.1070728083334,-14.762657442423077,-0.0010970670746,-152.32598676,2
U048,70,70,22.4,2023-07-17 21:29:57,2023-07-17T21:29:57Z,10,2023-07-17T21:30:37Z,985.6893107713076,-13.40904580876923,-0.0010970670746,-152.32598676,2
71,70,70,22.4,2023-07-17 21:32:32,2023-07-17T21:32:32Z,11,2023-07-17T21:33:12Z,427.1875804297265,-13.454539870692308,-0.0010970670746,-152.32598676,2
146,70,70,22.4,2023-07-17 21:35:08,2023-07-17T21:35:08Z,12,2023-07-17T21:35:48Z,1420.6557511147564,-3.200859117251282,-0.0010970670746,-152.32598676,2
32,70,70,22.4,2023-07-17 21:37:53,2023-07-17T21:37:53Z,13,2023-07-17T21:38:33Z,1026.624823697141,-2.7020735254141024,-0.0010970670746,-152.32598676,2
55,70,70,22.4,2023-07-17 21:40:23,2023-07-17T21:40:23Z,14,2023-07-17T21:41:03Z,938.3376858999359,0.22135617747176922,-0.0010970670746,-152.32598676,2
BH13,70,70,22.4,2023-07-17 21:43:00,2023-07-17T21:43:00Z,15,2023-07-17T21:43:40Z,453.47482959565514,3.3638306905115387,-0.0010970670746,-152.32598676,2
U005,70,70,22.4,2023-07-17 21:45:40,2023-07-17T21:45:40Z,16,2023-07-17T21:46:20Z,424.3104406824953,-12.805561591457264,-0.0010970670746,-152.32598676,2
