Syringe,H2O_mL,air_mL,eq_temp,ResetTime,Treatment
BH16,70,70,22.4,45124.87889,7
92,70,70,22.4,45124.88067,8
BH21,70,70,22.4,45124.88257,1
30,70,70,22.4,45124.88448,5
33,70,70,22.4,45124.88635,4
U002,70,70,22.4,45124.8883,4
95,70,70,22.4,45124.89002,3
82,70,70,22.4,45124.89209,6
U018,70,70,22.4,45124.8938,2
U048,70,70,22.4,45124.8958,2
71,70,70,22.4,45124.89759,1
146,70,70,22.4,45124.8994,8
32,70,70,22.4,45124.90131,6
55,70,70,22.4,45124.90304,7
BH13,70,70,22.4,45124.90486,5
U005,70,70,22.4,45124.90671,3
