Syringe,H2O_mL,air_mL,eq_temp,ResetTime
BH16,70,70,22.4,2023-07-17 21:05:36
92,70,70,22.4,2023-07-17 21:08:10
BH21,70,70,22.4,2023-07-17 21:10:54
30,70,70,22.4,2023-07-17 21:13:39
33,70,70,22.4,2023-07-17 21:16:21
U002,70,70,22.4,2023-07-17 21:19:09
95,70,70,22.4,2023-07-17 21:21:38
82,70,70,22.4,2023-07-17 21:24:37
U018,70,70,22.4,2023-07-17 21:27:04
U048,70,70,22.4,2023-07-17 21:29:57
71,70,70,22.4,2023-07-17 21:32:32
146,70,70,22.4,2023-07-17 21:35:08
32,70,70,22.4,2023-07-17 21:37:53
55,70,70,22.4,2023-07-17 21:40:23
BH13,70,70,22.4,2023-07-17 21:43:00
U005,70,70,22.4,2023-07-17 21:45:40
