Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2_ppm,delCO2,CH4,delCH4,batch
BH05,70,70,21.9,2023-07-19 01:18:00,2023-07-19T01:18:00Z,1,2023-07-19T01:18:40Z,457.9363361471739,36.68568438115812,-0.0010970670746,-152.32598676,3
95,70,70,21.9,2023-07-19 01:20:18,2023-07-19T01:20:18Z,2,2023-07-19T01:20:58Z,1020.0226738724743,11.093714253294872,-0.0010970670746,-152.32598676,3
144,70,70,21.9,2023-07-19 01:22:53,2023-07-19T01:22:53Z,3,2023-07-19T01:23:33Z,869.6910989405616,17.85259849617949,-0.0010970670746,-152.32598676,3
U011,70,70,21.9,2023-07-19 01:25:13,2023-07-19T01:25:13Z,4,2023-07-19T01:25:53Z,955.5562606856154,10.579086165466666,-0.0010970670746,-152.32598676,3
37,70,70,21.9,2023-07-19 01:27:53,2023-07-19T01:27:53Z,5,2023-07-19T01:28:33Z,1431.8242229548077,9.756148524573076,-0.0010970670746,-152.32598676,3
98,70,70,21.9,2023-07-19 01:30:09,2023-07-19T01:30:09Z,6,2023-07-19T01:30:49Z,1003.1455240038717,13.554859845179488,-0.0010970670746,-152.32598676,3
82,70,70,21.9,2023-07-19 01:32:32,2023-07-19T01:32:32Z,7,2023-07-19T01:33:12Z,1456.2777105567563,7.473224396315385,-0.0010970670746,-152.32598676,3
30,70,70,21.9,2023-07-19 01:34:52,2023-07-19T01:34:52Z,8,2023-07-19T01:35:32Z,439.91129074578333,29.890234574679486,-0.0010970670746,-152.32598676,3
72,70,70,21.9,2023-07-19 01:37:12,2023-07-19T01:37:12Z,9,2023-07-19T01:37:52Z,433.9795993668859,28.764312333910258,-0.0010970670746,-152.32598676,3
BH16,70,70,21.9,2023-07-19 01:39:17,2023-07-19T01:39:17Z,10,2023-07-19T01:39:57Z,1433.5282023230127,8.423314909898718,-0.0010970670746,-152.32598676,3
81,70,70,21.9,2023-07-19 01:41:36,2023-07-19T01:41:36Z,11,2023-07-19T01:42:16Z,1393.8258170108845,8.731883841539744,-0.0010970670746,-152.32598676,3
79,70,70,21.9,2023-07-19 01:44:00,2023-07-19T01:44:00Z,12,2023-07-19T01:44:40Z,1018.1243273588718,10.521450604376923,-0.0010970670746,-152.32598676,3
U002,70,70,21.9,2023-07-19 01:46:16,2023-07-19T01:46:16Z,13,2023-07-19T01:46:56Z,1067.4440983331667,9.733664033098718,-0.0010970670746,-152.32598676,3
BH21,70,70,21.9,2023-07-19 01:48:34,2023-07-19T01:48:34Z,14,2023-07-19T01:49:14Z,445.37263827363205,29.58893629181624,-0.0010970670746,-152.32598676,3
029,70,70,21.9,2023-07-19 01:50:47,2023-07-19T01:50:47Z,15,2023-07-19T01:51:27Z,922.3809139707948,14.254266617846154,-0.0010970670746,-152.32598676,3
147,70,70,21.9,2023-07-19 01:53:02,2023-07-19T01:53:02Z,16,2023-07-19T01:53:42Z,437.3991716309064,31.666137356038462,-0.0010970670746,-152.32598676,3
BH13,70,70,21.9,2023-07-19 01:55:18,2023-07-19T01:55:18Z,17,2023-07-19T01:55:58Z,1407.7921882227693,6.969274920291026,-0.0010970670746,-152.32598676,3
5,70,70,21.9,2023-07-19 01:57:39,2023-07-19T01:57:39Z,18,2023-07-19T01:58:19Z,468.43120878478805,26.193895776551283,-0.0010970670746,-152.32598676,3
32,70,70,21.9,2023-07-19 02:00:04,2023-07-19T02:00:04Z,19,2023-07-19T02:00:44Z,892.645838132406,14.493893476679487,-0.0010970670746,-152.32598676,3
55,70,70,21.9,2023-07-19 02:02:16,2023-07-19T02:02:16Z,20,2023-07-19T02:02:56Z,1472.282376732,5.685059757148718,-0.0010970670746,-152.32598676,3
33,70,70,21.9,2023-07-19 02:04:39,2023-07-19T02:04:39Z,21,2023-07-19T02:05:19Z,446.3403081757154,28.764319739948718,-0.0010970670746,-152.32598676,3
U005,70,70,21.9,2023-07-19 02:07:00,2023-07-19T02:07:00Z,22,2023-07-19T02:07:40Z,1383.0157278190256,8.517630703217948,-0.0010970670746,-152.32598676,3
U048,70,70,21.9,2023-07-19 02:09:18,2023-07-19T02:09:18Z,23,2023-07-19T02:09:58Z,1449.128751211346,6.780365342257692,-0.0010970670746,-152.32598676,3
70,70,70,21.9,2023-07-19 02:11:34,2023-07-19T02:11:34Z,24,2023-07-19T02:12:14Z,992.1950820859358,10.22843126936282,-0.0010970670746,-152.32598676,3
BH12,70,70,21.9,2023-07-19 02:13:54,2023-07-19T02:13:54Z,25,2023-07-19T02:14:34Z,906.7304425504359,14.020444939692307,-0.0010970670746,-152.32598676,3
71,70,70,21.9,2023-07-19 02:16:09,2023-07-19T02:16:09Z,26,2023-07-19T02:16:49Z,984.4697203759744,9.164607995839743,-0.0010970670746,-152.32598676,3
92,70,70,21.9,2023-07-19 02:18:31,2023-07-19T02:18:31Z,27,2023-07-19T02:19:11Z,1008.0934709046667,13.043030984423076,-0.0010970670746,-152.32598676,3
73,70,70,21.9,2023-07-19 02:20:52,2023-07-19T02:20:52Z,28,2023-07-19T02:21:32Z,924.0779020314786,13.328771839641025,-0.0010970670746,-152.32598676,3
U018,70,70,21.9,2023-07-19 02:23:10,2023-07-19T02:23:10Z,29,2023-07-19T02:23:50Z,945.0739260641154,14.178359976269231,-0.0010970670746,-152.32598676,3
U013,70,70,21.9,2023-07-19 02:25:25,2023-07-19T02:25:25Z,30,2023-07-19T02:26:05Z,952.6024623469872,8.3382521703,-0.0010970670746,-152.32598676,3
8G,70,70,21.9,2023-07-19 02:27:44,2023-07-19T02:27:44Z,31,2023-07-19T02:28:24Z,1207.5710370102563,7.167126067533333,-0.0010970670746,-152.32598676,3
74,70,70,21.9,2023-07-19 02:30:08,2023-07-19T02:30:08Z,32,2023-07-19T02:30:48Z,441.4015270884436,25.011556505692308,-0.0010970670746,-152.32598676,3
NI13,70,70,21.9,2023-07-19 02:36:18,2023-07-19T02:36:18Z,33,2023-07-19T02:36:58Z,402.05463201067823,-0.6288170201441795,-0.0010970670746,-152.32598676,3
NI83,70,70,21.9,2023-07-19 02:38:27,2023-07-19T02:38:27Z,34,2023-07-19T02:39:07Z,920.1905072342821,-8.549756362562821,-0.0010970670746,-152.32598676,3
NI25,70,70,21.9,2023-07-19 02:40:22,2023-07-19T02:40:22Z,35,2023-07-19T02:41:02Z,965.1455096958205,-8.717870851320512,-0.0010970670746,-152.32598676,3
