Syringe,H2O_mL,air_mL,eq_temp,ResetTime
BH05,70,70,21.9.5,2023-07-19 01:18:00
95,70,70,21.9,2023-07-19 01:20:18
144,70,70,21.9,2023-07-19 01:22:53
U011,70,70,21.9,2023-07-19 01:25:13
37,70,70,21.9,2023-07-19 01:27:53
98,70,70,21.9,2023-07-19 01:30:09
82,70,70,21.9,2023-07-19 01:32:32
30,70,70,21.9,2023-07-19 01:34:52
72,70,70,21.9,2023-07-19 01:37:12
BH16,70,70,21.9,2023-07-19 01:39:17
81,70,70,21.9,2023-07-19 01:41:36
79,70,70,21.9,2023-07-19 01:44:00
U002,70,70,21.9,2023-07-19 01:46:16
BH21,70,70,21.9,2023-07-19 01:48:34
029,70,70,21.9,2023-07-19 01:50:47
147,70,70,21.9,2023-07-19 01:53:02
BH13,70,70,21.9,2023-07-19 01:55:18
5,70,70,21.9,2023-07-19 01:57:39
32,70,70,21.9,2023-07-19 02:00:04
55,70,70,21.9,2023-07-19 02:02:16
33,70,70,21.9,2023-07-19 02:04:39
U005,70,70,21.9,2023-07-19 02:07:00
U048,70,70,21.9,2023-07-19 02:09:18
70,70,70,21.9,2023-07-19 02:11:34
BH12,70,70,21.9,2023-07-19 02:13:54
71,70,70,21.9,2023-07-19 02:16:09
92,70,70,21.9,2023-07-19 02:18:31
73,70,70,21.9,2023-07-19 02:20:52
U018,70,70,21.9,2023-07-19 02:23:10
U013,70,70,21.9,2023-07-19 02:25:25
8G,70,70,21.9,2023-07-19 02:27:44
74,70,70,21.9,2023-07-19 02:30:08
NI13,70,70,21.9,2023-07-19 02:36:18
NI83,70,70,21.9,
NI25,70,70,21.9,2023-07-19 02:40:22
NI20,70,70,21.9,2023-07-19 02:42:40
NI23,70,70,21.9,2023-07-19 02:45:03
NI15,70,70,21.9,2023-07-19 02:47:21
NI22,70,70,21.9,2023-07-19 02:49:38
NI16,70,70,21.9,2023-07-19 02:51:49
NI10,70,70,21.9,2023-07-19 02:54:17
NI84,70,70,21.9,2023-07-19 02:56:25
NI17,70,70,21.9,2023-07-19 02:58:37
NI91,70,70,21.9,2023-07-19 03:00:47
NI88,70,70,21.9,2023-07-19 03:03:11
NI86,70,70,21.9,2023-07-19 03:05:13
NI6,70,70,21.9,2023-07-19 03:07:26
NI12,70,70,21.9,2023-07-19 03:09:48
NI102,70,70,21.9,2023-07-19 03:12:00
NI5,70,70,21.9,2023-07-19 03:14:09
NI2,70,70,21.9,2023-07-19 03:16:16
NI7,70,70,21.9,2023-07-19 03:18:11
NI8,70,70,21.9,2023-07-19 03:20:15
NI9,70,70,21.9,2023-07-19 03:22:26
NI89,70,70,21.9,2023-07-19 03:24:38
NI21,70,70,21.9,2023-07-19 03:26:59
NI18,70,70,21.9,2023-07-19 03:28:59
NI77,70,70,21.9,2023-07-19 03:31:28
NI19,70,70,21.9,2023-07-19 03:33:43
NI1,70,70,21.9,2023-07-19 03:35:56
NI14,70,70,21.9,2023-07-19 03:38:00
NI24,70,70,21.9,2023-07-19 03:40:18
NI4,70,70,21.9,2023-07-19 03:42:19
NI11,70,70,21.9,2023-07-19 03:44:38
