samplenum,batch,trt,leachate,treatment,vol_acid,final_pH,alk_meqL,date
1,1,1,0,NMC_1_1,4.54,4.42,1.816,7/21/2023
2,1,2,0,NMC_1_2,4.54,4.5,1.816,7/21/2023
3,1,3,0,NMC_1_3,4.46,4.44,1.784,7/21/2023
4,1,4,0,NMC_1_4,4.57,4.45,1.828,7/21/2023
5,1,5,1,NMC_1_5,4.58,4.5,1.832,7/21/2023
6,1,6,1,NMC_1_6,4.52,4.46,1.808,7/21/2023
7,1,7,1,NMC_1_7,4.47,4.48,1.788,7/21/2023
8,1,8,1,NMC_1_8,4.43,4.46,1.772,7/21/2023
9,2,1,0,NMC_2_1,4.54,4.48,1.816,7/27/2023
10,2,2,0,NMC_2_2,4.47,4.5,1.788,7/27/2023
11,2,3,0,NMC_2_3,4.57,4.41,1.828,7/27/2023
12,2,4,0,NMC_2_4,4.49,4.49,1.796,7/27/2023
13,2,5,1,NMC_2_5,4.5,4.43,1.8,7/27/2023
14,2,6,1,NMC_2_6,4.43,4.48,1.772,7/27/2023
15,2,7,1,NMC_2_7,4.49,4.49,1.796,7/27/2023
16,2,8,1,NMC_2_8,4.45,4.45,1.78,7/27/2023
