samplenum,batch,trt,leachate,treatment,vol_acid,final_pH,alk_meqL,date
1,1,1,0,NW_1_1,6.08,4.47,2.432,7/31/2023
2,1,2,0,NW_1_2,5.86,4.46,2.344,7/31/2023
3,1,3,0,NW_1_3,5.91,4.5,2.364,7/31/2023
4,1,4,0,NW_1_4,5.94,4.45,2.376,7/31/2023
5,1,5,1,NW_1_5,5.99,4.49,2.396,7/31/2023
6,1,6,1,NW_1_6,6.1,4.42,2.44,7/31/2023
7,1,7,1,NW_1_7,6.06,4.45,2.424,7/31/2023
8,1,8,1,NW_1_8,5.99,4.45,2.396,7/31/2023
9,2,1,0,NW_2_1,6.04,4.46,2.416,8/4/2023
10,2,2,0,NW_2_2,5.97,4.46,2.388,8/4/2023
11,2,3,0,NW_2_3,5.9,4.49,2.36,8/4/2023
12,2,4,0,NW_2_4,5.94,4.43,2.376,8/4/2023
13,2,5,1,NW_2_5,5.92,4.46,2.368,8/4/2023
14,2,6,1,NW_2_6,5.98,4.5,2.392,8/4/2023
15,2,7,1,NW_2_7,5.95,4.41,2.38,8/4/2023
16,2,8,1,NW_2_8,5.82,4.47,2.328,8/4/2023
