"","Syringe","H2O_mL","air_mL","eq_temp","ResetTime","DATETIME","samplenum","ENDTIME","CO2","delCO2","CH4","delCH4"
"1","Std_1",0,70,21,"2022-07-22 02:51:28",2022-07-22 02:51:28,1,2022-07-22 02:51:58,439.027926147639,-3.552128072825,0.0809506572160833,-45.875535518225
"2","Std_1",0,70,21,"2022-07-22 02:54:07",2022-07-22 02:54:07,2,2022-07-22 02:54:37,435.0310655482,-3.038936704438,0.02812773661364,55.032473651848
"3","BH21",70,70,21,"2022-07-22 02:56:27",2022-07-22 02:56:27,3,2022-07-22 02:56:57,573.2234691154,24.316700739,0.299485803708,-52.67956055324
"4","BH13",70,70,21,"2022-07-22 02:58:44",2022-07-22 02:58:44,4,2022-07-22 02:59:14,669.4277196775,24.9798333361667,0.274281901954583,-68.1297004593333
"5","4002",70,70,21,"2022-07-22 03:01:02",2022-07-22 03:01:02,5,2022-07-22 03:01:32,624.955767181667,21.4039923330208,0.31671306064375,-43.17865026675
"6","4048",70,70,21,"2022-07-22 03:03:14",2022-07-22 03:03:14,6,2022-07-22 03:03:44,554.7341622548,22.90802174112,0.2512473393332,-42.794348386184
"7","147",70,70,21,"2022-07-22 03:05:38",2022-07-22 03:05:38,7,2022-07-22 03:06:08,1090.885339048,22.27244622182,0.31056803545,-57.06359031168
"8","110n",70,70,21,"2022-07-22 03:07:54",2022-07-22 03:07:54,8,2022-07-22 03:08:24,1179.89314115625,19.4897796758333,0.283862465581667,-60.358827094
"9","8G",70,70,21,"2022-07-22 03:10:08",2022-07-22 03:10:08,9,2022-07-22 03:10:38,1134.18727559,23.23943060196,0.2962855356756,-44.29671742908
"10","BH12",70,70,21,"2022-07-22 03:12:38",2022-07-22 03:12:38,10,2022-07-22 03:13:08,1128.02017993333,23.8905638941458,0.308097694880833,-45.8041792320417
"11","70",70,70,21,"2022-07-22 03:14:52",2022-07-22 03:14:52,11,2022-07-22 03:15:22,1000.18142241771,22.753048027125,0.281771375317917,-40.4568868472083
"12","71",70,70,21,"2022-07-22 03:17:15",2022-07-22 03:17:15,12,2022-07-22 03:17:45,1004.978812858,23.34385081598,0.2843150673268,-49.18847825356
"14","73",70,70,21,"2022-07-22 03:21:19",2022-07-22 03:21:19,14,2022-07-22 03:21:49,998.0466525675,23.0543872469375,0.27813211905375,-40.7255443434625
"15","37",70,70,21,"2022-07-22 03:23:45",2022-07-22 03:23:45,15,2022-07-22 03:24:15,1818.99532365417,25.2707641477708,0.3001829330375,-60.979614454
"16","33",70,70,21,"2022-07-22 03:25:52",2022-07-22 03:25:52,16,2022-07-22 03:26:22,1871.14179296458,25.1870142718958,0.292585839460417,-51.45662259575
"18","30",70,70,21,"2022-07-22 03:30:11",2022-07-22 03:30:11,18,2022-07-22 03:30:41,1803.26606459375,24.8619142401875,0.296108518319583,-66.2734303684167
